folder_name,AAD_LMDD_mm_auc,AAD_LMDD_mm_avgprecision
abalone-17_vs_7-8-9-10,0.65357683,0.897553494
abalone-19_vs_10-11-12-13,0.587362421,0.98224879
abalone-20_vs_8-9-10,0.624949125,0.956702937
abalone-21_vs_8,0.80952381,0.634321095
abalone-3_vs_11,0.616016427,0.974217703
abalone19,0.521773901,0.988129077
abalone9-18,0.665871864,0.839364097
car-good,0.500026208,0.960067432
car-vgood,0.507040104,0.962655271
cleveland-0_vs_4,0.944230769,0.507169811
dermatology-6,0.670857988,0.954456373
ecoli-0-1-3-7_vs_2-6,0.544838373,0.975629484
ecoli-0-1-4-6_vs_5,0.531826923,0.89473485
ecoli-0-1-4-7_vs_2-3-5-6,0.536673032,0.869494577
ecoli-0-1-4-7_vs_5-6,0.558631922,0.917386372
ecoli-0-1_vs_2-3-5,0.541098485,0.882362956
ecoli-0-1_vs_5,0.723409091,0.848518877
ecoli-0-2-3-4_vs_5,0.501510989,0.90176885
ecoli-0-2-6-7_vs_3-5,0.555805581,0.847666753
ecoli-0-3-4-6_vs_5,0.549324324,0.868422122
ecoli-0-3-4-7_vs_5-6,0.580344828,0.919871
ecoli-0-3-4_vs_5,0.6225,0.858527376
ecoli-0-4-6_vs_5,0.611748634,0.820325253
ecoli-0-6-7_vs_3-5,0.610227273,0.873006014
ecoli-0-6-7_vs_5,0.7735,0.554229694
ecoli-0_vs_1,0.974116792,0.59886216
ecoli1,0.707616708,0.660212904
ecoli2,0.66366468,0.870597065
ecoli3,0.88761272,0.598201689
ecoli4,0.628560127,0.828533121
flare-F,0.768487576,0.858381289
glass-0-1-2-3_vs_4-5-6,0.709611452,0.597199551
glass-0-1-4-6_vs_2,0.590425532,0.917073171
glass-0-1-5_vs_2,0.526375712,0.90529109
glass-0-1-6_vs_2,0.583529412,0.918732609
glass-0-1-6_vs_5,0.631746032,0.783642585
glass-0-4_vs_5,0.625167336,0.826598215
glass-0-6_vs_5,0.661054994,0.64329806
glass0,0.571875,0.698098551
glass1,0.531226163,0.632703444
glass2,0.594804419,0.911541661
glass4,0.675277459,0.860293971
glass5,0.643902439,0.86438255
glass6,0.747996272,0.757956082
habermanImb,0.510315501,0.746313712
iris0,0.8992,0.78722838
kr-vs-k-one_vs_fifteen,0.557369723,0.944111097
kr-vs-k-three_vs_eleven,0.60529082,0.972402044
kr-vs-k-zero-one_vs_draw,0.634304108,0.966538114
kr-vs-k-zero_vs_eight,0.636078158,0.981506849
kr-vs-k-zero_vs_fifteen,0.537182381,0.986664376
led7digit-0-2-4-5-6-7-8-9_vs_1,0.891226202,0.525654435
lymphography-normal-fibrosis,0.6907277,0.913463953
new-thyroid1,0.744285714,0.520756231
new-thyroid2,0.781587302,0.507889176
page-blocks-1-3_vs_4,0.563063063,0.887935956
page-blocks0,0.763757174,0.525430715
pimaImb,0.66038806,0.502513707
poker-8-9_vs_5,0.559931707,0.785772733
poker-8-9_vs_6,0.630589041,0.898997969
poker-8_vs_6,0.512691378,0.985965637
poker-9_vs_7,0.712923729,0.570296593
segment0,0.6382541,0.85830222
shuttle-2_vs_5,0.996239451,0.648017964
shuttle-6_vs_2-3,0.606818182,0.956521739
shuttle-c0-vs-c4,0.673147857,0.897597335
shuttle-c2-vs-c4,0.834688347,0.609532013
vehicle0,0.651837239,0.827020183
vehicle1,0.62751936,0.641814422
vehicle2,0.614945509,0.753893605
vehicle3,0.61154098,0.688759211
vowel0,0.846226182,0.571518266
winequality-red-3_vs_5,0.643759178,0.976842903
winequality-red-4,0.553845591,0.952807521
winequality-red-8_vs_6-7,0.581176158,0.968278763
winequality-red-8_vs_6,0.597701149,0.957730473
winequality-white-3-9_vs_5,0.764008236,0.930495428
winequality-white-3_vs_7,0.729772727,0.790004242
winequality-white-9_vs_4,0.611042945,0.957398806
wisconsinImb,0.615990991,0.528612817
yeast-0-2-5-6_vs_3-7-8-9,0.777007646,0.541099149
yeast-0-2-5-7-9_vs_3-6-8,0.86001451,0.556042891
yeast-0-3-5-9_vs_7-8,0.658925439,0.825027288
yeast-0-5-6-7-9_vs_4,0.623422535,0.826825911
yeast-1-2-8-9_vs_7,0.632242821,0.914164388
yeast-1-4-5-8_vs_7,0.577828054,0.902898892
yeast-1_vs_7,0.781118881,0.741403281
yeast-2_vs_4,0.844111295,0.522831646
yeast-2_vs_8,0.72034632,0.748223261
yeast1,0.600026514,0.750682947
yeast3,0.594910901,0.900645553
yeast4,0.776733303,0.866938614
yeast5,0.948989899,0.742901428
yeast6,0.809109731,0.900775189
zoo-3,0.61875,0.950708224
