folder_name,ABOD_mm_auc,ABOD_mm_avgprecision
abalone-17_vs_7-8-9-10,0.8232078039927404,0.8802005043480129
abalone-19_vs_10-11-12-13,0.6260220125786163,0.971581691783675
abalone-20_vs_8-9-10,0.8108669108669109,0.925105111075555
abalone-21_vs_8,0.9305870496346687,0.7063533771423857
abalone-3_vs_11,0.8631074606433949,0.9825776371964723
abalone19,0.7158981168517624,0.9857106493110238
abalone9-18,0.8451862602805998,0.7435674123075209
car-good,0.5762332817918949,0.9642119906076491
car-vgood,0.5141819695638096,0.9634011074729686
cleveland-0_vs_4,0.8774038461538461,0.6513649813705431
dermatology-6,0.6344674556213018,0.9182921906664414
ecoli-0-1-3-7_vs_2-6,0.6783107403545359,0.9415980217510371
ecoli-0-1-4-6_vs_5,0.7888461538461539,0.7968634541019117
ecoli-0-1-4-7_vs_2-3-5-6,0.7574974727619903,0.7142571001236226
ecoli-0-1-4-7_vs_5-6,0.7489250814332247,0.8053546438436523
ecoli-0-1_vs_2-3-5,0.7956439393939395,0.6717470395616051
ecoli-0-1_vs_5,0.7793181818181818,0.7861894919924555
ecoli-0-2-3-4_vs_5,0.8063186813186813,0.7600556207234114
ecoli-0-2-6-7_vs_3-5,0.8069306930693069,0.679099423343287
ecoli-0-3-4-6_vs_5,0.8035135135135135,0.7620570391174484
ecoli-0-3-4-7_vs_5-6,0.7686206896551724,0.792206830101553
ecoli-0-3-4_vs_5,0.8080555555555555,0.7561996803322262
ecoli-0-4-6_vs_5,0.8125683060109289,0.704640702275579
ecoli-0-6-7_vs_3-5,0.8075,0.6647576966403475
ecoli-0-6-7_vs_5,0.7885,0.7683466464850998
ecoli-0_vs_1,0.7211879030060848,0.5295026673915669
ecoli1,0.6028681742967458,0.7068526337154295
ecoli2,0.5287107258938244,0.831821725819242
ecoli3,0.5045087802562885,0.8999430434625262
ecoli4,0.7906645569620253,0.8553574497229833
flare-F,0.6796130850894543,0.9715579612643059
glass-0-1-2-3_vs_4-5-6,0.811981234211476,0.5373944301844987
glass-0-1-4-6_vs_2,0.5456821026282854,0.9236818873417777
glass-0-1-5_vs_2,0.5324478178368122,0.8667195953091825
glass-0-1-6_vs_2,0.5354621848739496,0.9162164194416654
glass-0-1-6_vs_5,0.7403174603174603,0.8772087754639242
glass-0-4_vs_5,0.7389558232931727,0.7322542600270456
glass-0-6_vs_5,0.7373737373737373,0.7746124454509936
glass0,0.7211309523809524,0.7709726530785339
glass1,0.5165903890160183,0.6419507120885064
glass2,0.5392654523738429,0.9240713508713901
glass4,0.8469192499043245,0.819385256322614
glass5,0.7355013550135502,0.8680191660845284
glass6,0.733457595526561,0.6955513603302633
habermanImb,0.6704526748971193,0.6235640989201948
iris0,0.6388,0.6531482015048289
