folder_name,COF_mm_auc,COF_mm_avgprecision
abalone-17_vs_7-8-9-10,0.7882788868723533,0.9227870570302975
abalone-19_vs_10-11-12-13,0.5677672955974843,0.9715216270075032
abalone-20_vs_8-9-10,0.8249084249084249,0.9317080222891095
abalone-21_vs_8,0.9126984126984128,0.7073284361700061
abalone-3_vs_11,0.8585900068446269,0.9822441907331027
abalone19,0.5646200507001449,0.989866817235788
abalone9-18,0.8192687815329325,0.7584579285482675
car-good,0.5,0.9600694444444444
car-vgood,0.5,0.9623842592592593
cleveland-0_vs_4,0.6754807692307693,0.8711459193248989
dermatology-6,0.6220414201183433,0.9211067028436742
ecoli-0-1-3-7_vs_2-6,0.8034410844629822,0.8525681712690412
ecoli-0-1-4-6_vs_5,0.5896153846153847,0.9001574208363207
ecoli-0-1-4-7_vs_2-3-5-6,0.676625856452881,0.8254853066412446
ecoli-0-1-4-7_vs_5-6,0.6862540716612378,0.849217922743005
ecoli-0-1_vs_2-3-5,0.6035984848484848,0.7980024345412962
ecoli-0-1_vs_5,0.5843181818181818,0.8704023751507264
ecoli-0-2-3-4_vs_5,0.5785714285714286,0.8694047717553528
ecoli-0-2-6-7_vs_3-5,0.6273627362736274,0.7785874352201894
ecoli-0-3-4-6_vs_5,0.5864864864864865,0.8776613870436529
ecoli-0-3-4-7_vs_5-6,0.6581034482758621,0.8410145293403648
ecoli-0-3-4_vs_5,0.5988888888888889,0.8643965531143961
ecoli-0-4-6_vs_5,0.5918032786885246,0.8680905201451022
ecoli-0-6-7_vs_3-5,0.6325,0.7618479203622198
ecoli-0-6-7_vs_5,0.5964999999999999,0.8416747970552041
ecoli-0_vs_1,0.5380074470983562,0.6025311985270037
ecoli1,0.5575891290177004,0.667638000842494
ecoli2,0.5813244853737811,0.8671662463738818
ecoli3,0.546748932130992,0.90489865741257
ecoli4,0.605379746835443,0.9260270278200313
flare-F,0.6583577712609971,0.9429454115562946
glass-0-1-2-3_vs_4-5-6,0.5825814988572116,0.5337606777821831
glass-0-1-4-6_vs_2,0.5203379224030038,0.9197879985275553
glass-0-1-5_vs_2,0.5180265654648957,0.9038154112311887
glass-0-1-6_vs_2,0.5183193277310925,0.9072876305087523
glass-0-1-6_vs_5,0.833015873015873,0.850037500561624
glass-0-4_vs_5,0.7550200803212852,0.6304435039907226
glass-0-6_vs_5,0.8507295173961841,0.7370353838889308
glass0,0.643452380952381,0.7499099086829372
glass1,0.5768497330282227,0.6156668556284588
glass2,0.5132875485219468,0.9201057070320443
glass4,0.770761576731726,0.74223716984792
glass5,0.7940379403794038,0.874914779851636
glass6,0.6050326188257222,0.7875076562318861
habermanImb,0.6624417009602196,0.602708015075555
iris0,0.5032,0.6043849127975767
kr-vs-k-one_vs_fifteen,0.6118569027156284,0.9730938289197916
kr-vs-k-three_vs_eleven,0.6587202713107876,0.921939820199912
