folder_name,HBOS_mm_auc,HBOS_mm_avgprecision
abalone-17_vs_7-8-9-10,0.6338210828796128,0.9040910986183386
abalone-19_vs_10-11-12-13,0.5320558176100629,0.9806322209244523
abalone-20_vs_8-9-10,0.6047822547822548,0.966547952589327
abalone-21_vs_8,0.817838246409675,0.6992613380543817
abalone-3_vs_11,0.9904175222450377,0.6412078179469484
abalone19,0.5407336431675519,0.9883502560071569
abalone9-18,0.6666666666666666,0.8818715647357648
car-good,0.5050318421259533,0.9604504543363239
car-vgood,0.6403210139229382,0.9690158221408222
cleveland-0_vs_4,0.9543269230769231,0.7555759055759057
dermatology-6,0.7443786982248521,0.8164573736581343
ecoli-0-1-3-7_vs_2-6,0.8279457768508863,0.7400344956315106
ecoli-0-1-4-6_vs_5,0.8926923076923077,0.5725664655442444
ecoli-0-1-4-7_vs_2-3-5-6,0.7936650567224531,0.5905058900693917
ecoli-0-1-4-7_vs_5-6,0.8221498371335505,0.6184295440493439
ecoli-0-1_vs_2-3-5,0.890909090909091,0.5589479032232713
ecoli-0-1_vs_5,0.9088636363636363,0.5523305939123532
ecoli-0-2-3-4_vs_5,0.8807692307692307,0.5867727180346256
ecoli-0-2-6-7_vs_3-5,0.8598109810981098,0.5837368063070142
ecoli-0-3-4-6_vs_5,0.8613513513513513,0.6418521020155243
ecoli-0-3-4-7_vs_5-6,0.7994827586206897,0.7247786669457108
ecoli-0-3-4_vs_5,0.8791666666666667,0.5926560257534595
ecoli-0-4-6_vs_5,0.8674863387978142,0.6056941603268735
ecoli-0-6-7_vs_3-5,0.8722727272727273,0.5719245083101561
ecoli-0-6-7_vs_5,0.8582500000000001,0.6932239220978726
ecoli-0_vs_1,0.8191808191808192,0.5144063536272101
ecoli1,0.6262598405455548,0.7061770393646828
ecoli2,0.5173686348862405,0.8460100629985858
ecoli3,0.6306597057427622,0.8596598986697254
ecoli4,0.795253164556962,0.8136486280713753
flare-F,0.8316056286798973,0.7857699296000578
glass-0-1-2-3_vs_4-5-6,0.8822326476602911,0.6258052987321889
glass-0-1-4-6_vs_2,0.7024405506883604,0.9412231802363605
glass-0-1-5_vs_2,0.6013282732447818,0.9140139067163284
glass-0-1-6_vs_2,0.6431932773109243,0.9320743243393993
glass-0-1-6_vs_5,0.7333333333333334,0.8950159324985385
glass-0-4_vs_5,0.7925033467202143,0.7474792999302803
glass-0-6_vs_5,0.7283950617283951,0.8016346206155837
glass0,0.6874007936507937,0.7624923877261465
glass1,0.5539187643020596,0.6653839353369031
glass2,0.7137951627351449,0.9444264538677221
glass4,0.8029085342518177,0.7212004202138896
glass5,0.711111111111111,0.919056002143902
glass6,0.872134203168686,0.6041188074783646
habermanImb,0.6114128943758573,0.6128039875388553
iris0,0.6517999999999999,0.7305989014732146
kr-vs-k-one_vs_fifteen,0.9948208916352961,0.9476967611960728
kr-vs-k-three_vs_eleven,0.631277738846064,0.9649883814626979
kr-vs-k-zero-one_vs_draw,0.7157401730363104,0.9377954427667067
kr-vs-k-zero_vs_eight,0.6798738724768034,0.9729081216165264
kr-vs-k-zero_vs_fifteen,0.9998632057727164,0.9895588957657921
led7digit-0-2-4-5-6-7-8-9_vs_1,0.895320197044335,0.5816223807618423
lymphography-normal-fibrosis,0.9941314553990611,0.8833333333333333
new-thyroid1,0.8192063492063492,0.6595475226169245
new-thyroid2,0.8192063492063492,0.6595475226169245
page-blocks-1-3_vs_4,0.7842261904761905,0.6965375657796398
page-blocks0,0.7715696773228049,0.6840815739818535
pimaImb,0.6956007462686566,0.551546589280776
poker-8-9_vs_5,0.5157658536585366,0.9804351304488693
poker-8-9_vs_6,0.5316712328767124,0.9845296327240145
poker-8_vs_6,0.5946817082997582,0.9858503341824
poker-9_vs_7,0.6430084745762712,0.9720042824846896
segment0,0.6718269796387908,0.8993465447161721
shuttle-2_vs_5,0.938194561571185,0.5599440326663907
shuttle-6_vs_2-3,0.980909090909091,0.547946497946498
shuttle-c0-vs-c4,0.999475786082597,0.9855875548291807
shuttle-c2-vs-c4,0.975609756097561,0.521031746031746
vehicle0,0.5919396052907505,0.7975965312282738
vehicle1,0.5946312265097844,0.7159171414955863
vehicle2,0.6289370653888857,0.6949886012735365
vehicle3,0.6233036724004524,0.7044594986625241
vowel0,0.9049987626825043,0.5409093965919796
winequality-red-3_vs_5,0.7372980910425845,0.9647440820057689
winequality-red-4,0.5034843418194244,0.9570604725072234
winequality-red-8_vs_6-7,0.5474578521173503,0.9652517627775083
winequality-red-8_vs_6,0.6437652385928248,0.9377004766731747
winequality-white-3-9_vs_5,0.7863280713795471,0.867818378768376
winequality-white-3_vs_7,0.8189204545454545,0.6024530068663115
winequality-white-9_vs_4,0.585276073619632,0.9591776804618561
wisconsinImb,0.9850823626974254,0.9582748459823851
yeast-0-2-5-6_vs_3-7-8-9,0.7373179306880965,0.7280183230310209
yeast-0-2-5-7-9_vs_3-6-8,0.806417768848708,0.7142417536750567
yeast-0-3-5-9_vs_7-8,0.5313815789473684,0.880272584115428
yeast-0-5-6-7-9_vs_4,0.5768076622682616,0.8696790354280213
yeast-1-2-8-9_vs_7,0.5905488913122501,0.9519646312741338
yeast-1-4-5-8_vs_7,0.5035444947209653,0.949461729009136
yeast-1_vs_7,0.5888888888888889,0.8804508916983044
yeast-2_vs_4,0.8229365180197348,0.6944678723550528
yeast-2_vs_8,0.7221861471861472,0.8884044291678475
yeast1,0.5101006418541963,0.7140226979267469
yeast3,0.5232627262298964,0.8937022923510592
yeast4,0.7244981733097984,0.9237640018876894
yeast5,0.8899068813131312,0.8180732572517272
yeast6,0.7403430937592428,0.948871299897782
zoo-3,0.7354166666666666,0.9616308603834327
