folder_name,ISOF_mm_auc,ISOF_mm_avgprecision
abalone-17_vs_7-8-9-10,0.7174379915305504,0.9840879708768359
abalone-19_vs_10-11-12-13,0.5181407232704403,0.9798250234794973
abalone-20_vs_8-9-10,0.7275335775335776,0.9907781093525402
abalone-21_vs_8,0.8922902494331065,0.986272206378397
abalone-3_vs_11,0.9897330595482546,0.9837970023442147
abalone19,0.5316725012071464,0.9904442880428943
abalone9-18,0.6999101527403415,0.9612260679482145
car-good,0.5552672729337562,0.9559288066678456
car-vgood,0.5443360007400898,0.9580368047455745
cleveland-0_vs_4,0.8980769230769231,0.9563029573226823
dermatology-6,0.8775147928994083,0.9678164733293444
ecoli-0-1-3-7_vs_2-6,0.8550573514077163,0.9841790079396562
ecoli-0-1-4-6_vs_5,0.8257692307692308,0.9566227533399256
ecoli-0-1-4-7_vs_2-3-5-6,0.7673817814219925,0.9458843664989732
ecoli-0-1-4-7_vs_5-6,0.787100977198697,0.9537123960374896
ecoli-0-1_vs_2-3-5,0.8524621212121213,0.9424589141873072
ecoli-0-1_vs_5,0.8706818181818181,0.951347515651643
ecoli-0-2-3-4_vs_5,0.8365384615384616,0.9401735089760918
ecoli-0-2-6-7_vs_3-5,0.7905040504050405,0.9388096187997996
ecoli-0-3-4-6_vs_5,0.8151351351351351,0.9397213887505099
ecoli-0-3-4-7_vs_5-6,0.7586206896551724,0.9376586090924052
ecoli-0-3-4_vs_5,0.8447222222222223,0.9400084547443484
ecoli-0-4-6_vs_5,0.8032786885245902,0.9384672836633022
ecoli-0-6-7_vs_3-5,0.7995454545454546,0.9388074093628255
ecoli-0-6-7_vs_5,0.7885,0.9427649968446545
ecoli-0_vs_1,0.8059213513758968,0.9020752498651481
ecoli1,0.6282404853833425,0.8253671960463019
ecoli2,0.5352112676056338,0.8641659807947977
ecoli3,0.6078785002373042,0.9190562436408903
ecoli4,0.7950949367088608,0.9628942425811859
flare-F,0.7837300234149447,0.975481318265194
glass-0-1-2-3_vs_4-5-6,0.8931793576326236,0.8592845241751357
glass-0-1-4-6_vs_2,0.6248435544430538,0.8752331171063723
glass-0-1-5_vs_2,0.5529411764705883,0.8740640071624112
glass-0-1-6_vs_2,0.598655462184874,0.8681505567414107
glass-0-1-6_vs_5,0.7580952380952382,0.9659153908201816
