folder_name,LODA_mm_auc,LODA_mm_avgprecision
abalone-17_vs_7-8-9-10,0.5209694494857834,0.929579421896476
abalone-19_vs_10-11-12-13,0.5343946540880503,0.9767816000636653
abalone-20_vs_8-9-10,0.6218152218152219,0.9760218189745082
abalone-21_vs_8,0.8917863441672966,0.5731700725812395
abalone-3_vs_11,0.9879534565366187,0.5715636663217307
abalone19,0.6774957749879286,0.9947289776075522
abalone9-18,0.6434791623470869,0.8947617190784887
car-good,0.6537376278708145,0.9330607384543437
car-vgood,0.6632314168092881,0.9151708451152368
cleveland-0_vs_4,0.7831730769230769,0.8007494632309018
dermatology-6,0.8344674556213018,0.6782105301946225
ecoli-0-1-3-7_vs_2-6,0.7789363920750781,0.9212255923457242
ecoli-0-1-4-6_vs_5,0.8521153846153846,0.7635586405788699
ecoli-0-1-4-7_vs_2-3-5-6,0.5790183084353588,0.8984144451311808
ecoli-0-1-4-7_vs_5-6,0.6100325732899022,0.8235266240269152
ecoli-0-1_vs_2-3-5,0.8227272727272726,0.5983860330310609
ecoli-0-1_vs_5,0.6393181818181818,0.8326658024649088
ecoli-0-2-3-4_vs_5,0.6821428571428572,0.8262271241109905
ecoli-0-2-6-7_vs_3-5,0.6998199819981998,0.7649296705347293
ecoli-0-3-4-6_vs_5,0.58,0.8118569462570508
ecoli-0-3-4-7_vs_5-6,0.7155172413793103,0.7571464151179027
ecoli-0-3-4_vs_5,0.6191666666666666,0.8726321475473708
ecoli-0-4-6_vs_5,0.8661202185792349,0.6544626064324646
ecoli-0-6-7_vs_3-5,0.7179545454545455,0.7020416976551964
ecoli-0-6-7_vs_5,0.7937500000000001,0.7168191224767996
ecoli-0_vs_1,0.8691308691308691,0.5231378375844781
ecoli1,0.5480619766334052,0.794889385963036
ecoli2,0.5886375947995666,0.8734735483181443
ecoli3,0.7644043663977219,0.7886373780019621
ecoli4,0.622626582278481,0.9197555213041899
flare-F,0.7264202414239924,0.9730963629446634
glass-0-1-2-3_vs_4-5-6,0.8372428726091663,0.5462328156958293
glass-0-1-4-6_vs_2,0.5913642052565707,0.9297376966157114
glass-0-1-5_vs_2,0.6026565464895636,0.9028714653762916
glass-0-1-6_vs_2,0.6161344537815125,0.9289968576406538
glass-0-1-6_vs_5,0.7092063492063492,0.9169941836552937
glass-0-4_vs_5,0.7724230254350736,0.736977461977462
glass-0-6_vs_5,0.5622895622895623,0.8733384899629033
glass0,0.5950396825396825,0.7356869475781933
glass1,0.6004958047292144,0.6941095532841712
glass2,0.7626157061809495,0.9479991255529724
glass4,0.79716800612323,0.8076603566853249
glass5,0.5804878048780489,0.9334719185278944
glass6,0.8870456663560112,0.5473439779578961
habermanImb,0.6602194787379971,0.5735518481573398
iris0,0.8,0.6073468949948987
kr-vs-k-one_vs_fifteen,0.5679972535928215,0.9595958013964856
kr-vs-k-three_vs_eleven,0.7178488930416049,0.8603870503311479
kr-vs-k-zero-one_vs_draw,0.5170379453641256,0.9615301914153664
kr-vs-k-zero_vs_eight,0.7172985965728464,0.9876829116628418
kr-vs-k-zero_vs_fifteen,0.8468246639991792,0.9930559009069412
led7digit-0-2-4-5-6-7-8-9_vs_1,0.6120689655172413,0.8937420214559972
lymphography-normal-fibrosis,0.7676056338028169,0.685143817170259
new-thyroid1,0.8847619047619047,0.5903116135354998
new-thyroid2,0.8728571428571429,0.5223311946487308
page-blocks-1-3_vs_4,0.7841859716859717,0.7350825105628102
page-blocks0,0.7963008949641472,0.637520561565408
pimaImb,0.6063731343283583,0.5727517426927722
poker-8-9_vs_5,0.5591609756097561,0.9877965848392675
poker-8-9_vs_6,0.5196986301369865,0.9826904376642037
poker-8_vs_6,0.6605560032232072,0.9914633927425818
poker-9_vs_7,0.8554025423728814,0.8781777451176156
segment0,0.738938182220304,0.9067167529395859
shuttle-2_vs_5,0.6881305322863764,0.8581652315100751
shuttle-6_vs_2-3,0.7572727272727273,0.8600852782616365
shuttle-c0-vs-c4,0.6571831603427406,0.602972681588996
shuttle-c2-vs-c4,0.556910569105691,0.9391825767343974
vehicle0,0.5636140517114164,0.7639803371975954
vehicle1,0.5985801469672437,0.7026443243100204
vehicle2,0.6319391690527669,0.7490740663892492
vehicle3,0.5590143443842628,0.7209792211183909
vowel0,0.6720242514229151,0.8082653917163105
winequality-red-3_vs_5,0.7838472834067548,0.9658472683103547
winequality-red-4,0.5510263858039005,0.9559290299410662
winequality-red-8_vs_6-7,0.5862870038497279,0.9655970658485435
winequality-red-8_vs_6,0.6280041797283176,0.9507774809650187
winequality-white-3-9_vs_5,0.7751818805765271,0.808364746625726
winequality-white-3_vs_7,0.8106818181818182,0.6880902769461288
winequality-white-9_vs_4,0.5165644171779141,0.967159379655399
wisconsinImb,0.9901522861773908,0.9825912255489617
yeast-0-2-5-6_vs_3-7-8-9,0.7652882415313353,0.6807706192850009
yeast-0-2-5-7-9_vs_3-6-8,0.7781684245772644,0.6729597563527623
yeast-0-3-5-9_vs_7-8,0.6928508771929826,0.7937550001820003
yeast-0-5-6-7-9_vs_4,0.6319727052246474,0.842834694259563
yeast-1-2-8-9_vs_7,0.5811704834605598,0.9558401251355624
yeast-1-4-5-8_vs_7,0.618552036199095,0.9419381824600902
yeast-1_vs_7,0.7006993006993008,0.8159503359450467
yeast-2_vs_4,0.8336509549824249,0.676817377848582
yeast-2_vs_8,0.779978354978355,0.7453185859441838
yeast1,0.5026502723185188,0.7178792251876163
yeast3,0.5182168184541363,0.8775978319699365
yeast4,0.6630543354815757,0.938915823020428
yeast5,0.912878787878788,0.8215738330495364
yeast6,0.8034112195602878,0.9286147272736253
zoo-3,0.7854166666666667,0.5094322344322344
