folder_name,LOF_mm_auc,LOF_mm_avgprecision
abalone-17_vs_7-8-9-10,0.7919464609800363,0.9853871697364819
abalone-19_vs_10-11-12-13,0.6103183962264151,0.9842120478221971
abalone-20_vs_8-9-10,0.8474562474562475,0.9922456636946371
abalone-21_vs_8,0.8395061728395061,0.9848420835048969
abalone-3_vs_11,0.9722108145106092,0.9835496067071225
abalone19,0.6386482979237084,0.9939636652057812
abalone9-18,0.7859561821825973,0.96495095460377
car-good,0.5,0.9600694444444444
car-vgood,0.5,0.9623842592592593
cleveland-0_vs_4,0.676923076923077,0.9438243769059497
dermatology-6,0.7911242603550296,0.9649418913639874
ecoli-0-1-3-7_vs_2-6,0.8065693430656934,0.9792035023018079
ecoli-0-1-4-6_vs_5,0.7003846153846154,0.9496648553453353
ecoli-0-1-4-7_vs_2-3-5-6,0.6929125014040212,0.9032362614483164
ecoli-0-1-4-7_vs_5-6,0.7100977198697068,0.947289593763766
ecoli-0-1_vs_2-3-5,0.7162878787878788,0.9319016793267575
ecoli-0-1_vs_5,0.7438636363636364,0.9435349375440802
ecoli-0-2-3-4_vs_5,0.7252747252747254,0.9317409045792825
ecoli-0-2-6-7_vs_3-5,0.6615661566156616,0.9257537764990047
ecoli-0-3-4-6_vs_5,0.7275675675675676,0.9326627644130712
ecoli-0-3-4-7_vs_5-6,0.7094827586206897,0.9317320811681195
ecoli-0-3-4_vs_5,0.7466666666666667,0.9325637471593147
ecoli-0-4-6_vs_5,0.7355191256830601,0.9326627644130712
ecoli-0-6-7_vs_3-5,0.6611363636363636,0.9217206654612178
ecoli-0-6-7_vs_5,0.6272500000000001,0.923598818184014
ecoli-0_vs_1,0.5505403687221869,0.6650721948293765
ecoli1,0.5569372712229854,0.791723450851903
ecoli2,0.6066495124593717,0.8097998328073351
ecoli3,0.5523493118177504,0.8555605848219675
ecoli4,0.7458860759493671,0.9604183774051681
flare-F,0.520300529677874,0.9438797624169785
glass-0-1-2-3_vs_4-5-6,0.5329002766750872,0.7228807025694232
glass-0-1-4-6_vs_2,0.5100125156445556,0.8808245579871072
glass-0-1-5_vs_2,0.6493358633776091,0.8519197840734273
glass-0-1-6_vs_2,0.5038655462184873,0.8665666453854081
glass-0-1-6_vs_5,0.7714285714285715,0.9660831646044993
glass-0-4_vs_5,0.8688085676037482,0.9379812701917687
glass-0-6_vs_5,0.8484848484848485,0.9471243272948394
glass0,0.6226190476190476,0.6054082851778978
glass1,0.5880053394355453,0.6854238427036081
glass2,0.5058226336219768,0.9097434614852862
glass4,0.7053195560658247,0.9564403081779969
glass5,0.7241192411924119,0.9353758455568049
glass6,0.6260950605778192,0.7433905386561854
habermanImb,0.6510836762688614,0.7960210035999351
iris0,0.512,0.6029332956452701
kr-vs-k-one_vs_fifteen,0.5063865804863036,0.9659245852306217
kr-vs-k-three_vs_eleven,0.7158850043690035,0.9821643851064099
kr-vs-k-zero-one_vs_draw,0.8671810068805776,0.9801773646402794
kr-vs-k-zero_vs_eight,0.5695381354837042,0.9843839334143817
kr-vs-k-zero_vs_fifteen,0.9008925823330256,0.9931280933025842
led7digit-0-2-4-5-6-7-8-9_vs_1,0.6054453468246572,0.9248456349148589
lymphography-normal-fibrosis,0.9976525821596244,0.9760629751834078
new-thyroid1,0.8566666666666667,0.9007809933962477
new-thyroid2,0.8566666666666667,0.9007809933962477
page-blocks-1-3_vs_4,0.7102638352638353,0.9599496145399341
page-blocks0,0.7218831277829948,0.9156918200841224
pimaImb,0.597044776119403,0.7072302656257348
poker-8-9_vs_5,0.744819512195122,0.9825944808050363
poker-8-9_vs_6,0.7673150684931507,0.9892191882157677
poker-8_vs_6,0.6659548751007252,0.9910006036026039
poker-9_vs_7,0.9809322033898304,0.9812374667493862
segment0,0.6162272247658162,0.8138042732802986
shuttle-2_vs_5,0.5455357533279611,0.986784116024486
shuttle-6_vs_2-3,0.9945454545454546,0.975683866864577
shuttle-c0-vs-c4,0.5026020072627455,0.825615053957692
shuttle-c2-vs-c4,0.9742547425474255,0.97183431133435
vehicle0,0.521261640505464,0.7838008173139208
vehicle1,0.5114474734968094,0.7417359299440771
vehicle2,0.5899170221469058,0.6578782434587287
vehicle3,0.5595946669841081,0.7778414004038678
vowel0,0.8153922296461272,0.9465355697218848
winequality-red-3_vs_5,0.7903083700440529,0.9906315752789401
winequality-red-4,0.6522736703361078,0.9745539850384792
winequality-red-8_vs_6-7,0.540820390282756,0.9664200004682788
winequality-red-8_vs_6,0.5525949146638801,0.9601121373972634
winequality-white-3-9_vs_5,0.8170761839396019,0.9900979261334182
winequality-white-3_vs_7,0.8686363636363637,0.9867553713119098
winequality-white-9_vs_4,0.7251533742331289,0.976551274380724
wisconsinImb,0.6158072298239663,0.5699704863507771
yeast-0-2-5-6_vs_3-7-8-9,0.5766839667392154,0.9112516567229496
yeast-0-2-5-7-9_vs_3-6-8,0.5242368435738601,0.8976870948180158
yeast-0-3-5-9_vs_7-8,0.6341666666666667,0.9260573529376913
yeast-0-5-6-7-9_vs_4,0.5930036584864554,0.9205013621448799
yeast-1-2-8-9_vs_7,0.6103235187204653,0.9633403761650031
yeast-1-4-5-8_vs_7,0.5014077425842132,0.949583377072048
yeast-1_vs_7,0.6316239316239316,0.94041945332467
yeast-2_vs_4,0.6769999576504468,0.9311712576325585
yeast-2_vs_8,0.7967532467532468,0.9736288618340248
yeast1,0.5544692274550095,0.7499855363168242
yeast3,0.5090445516735325,0.893548229309512
yeast4,0.594502141400873,0.9721247972476369
yeast5,0.5254261363636363,0.9278664079068807
yeast6,0.5888001577442571,0.9615293246916032
zoo-3,0.5145833333333333,0.9317944103405096
