folder_name,LSCP_mm_auc,LSCP_mm_avgprecision
abalone-17_vs_7-8-9-10,0.7919464609800364,0.9247183012132599
abalone-19_vs_10-11-12-13,0.6103183962264151,0.9699056785439508
abalone-20_vs_8-9-10,0.8474562474562475,0.9314374999022348
abalone-21_vs_8,0.8395061728395061,0.7616153265217651
abalone-3_vs_11,0.9722108145106091,0.6490936818026601
abalone19,0.6386482979237084,0.9882230916910125
abalone9-18,0.7859561821825973,0.7711176748721938
car-good,0.5,0.9600694444444444
car-vgood,0.5,0.9623842592592593
cleveland-0_vs_4,0.676923076923077,0.8853080114495883
dermatology-6,0.7911242603550297,0.8649426194405474
ecoli-0-1-3-7_vs_2-6,0.8065693430656935,0.5725684868542011
ecoli-0-1-4-6_vs_5,0.7003846153846154,0.8773758255189442
ecoli-0-1-4-7_vs_2-3-5-6,0.6929125014040212,0.6937381482832576
ecoli-0-1-4-7_vs_5-6,0.7100977198697068,0.7366037832190961
ecoli-0-1_vs_2-3-5,0.7162878787878788,0.7408450703736464
ecoli-0-1_vs_5,0.7438636363636364,0.8109445856178936
ecoli-0-2-3-4_vs_5,0.7252747252747253,0.8150197622047977
ecoli-0-2-6-7_vs_3-5,0.6615661566156616,0.7353931682769995
ecoli-0-3-4-6_vs_5,0.7275675675675676,0.8288435032225461
ecoli-0-3-4-7_vs_5-6,0.7094827586206897,0.7550389183802788
ecoli-0-3-4_vs_5,0.7466666666666667,0.8038403188424887
ecoli-0-4-6_vs_5,0.73551912568306,0.7895207834381015
ecoli-0-6-7_vs_3-5,0.6611363636363637,0.7329100766485128
ecoli-0-6-7_vs_5,0.62725,0.8324080807955462
ecoli-0_vs_1,0.5505403687221869,0.5965992667442432
ecoli1,0.5569372712229855,0.7163808752561724
ecoli2,0.6066495124593716,0.8771580014566791
ecoli3,0.5523493118177503,0.8984847275517236
ecoli4,0.7458860759493671,0.8845780783225294
flare-F,0.5202436972879583,0.9557014008287635
glass-0-1-2-3_vs_4-5-6,0.5329002766750872,0.600503589071146
glass-0-1-4-6_vs_2,0.5100125156445557,0.9056088319050345
glass-0-1-5_vs_2,0.6493358633776091,0.919617679161931
glass-0-1-6_vs_2,0.5038655462184873,0.8951621006615095
glass-0-1-6_vs_5,0.7714285714285715,0.8423545452216092
glass-0-4_vs_5,0.8688085676037484,0.6626638176638177
glass-0-6_vs_5,0.8484848484848485,0.7138482923533787
glass0,0.6226190476190476,0.7440609216230193
glass1,0.5880053394355453,0.6020256185411035
glass2,0.5058226336219767,0.9163123654733838
glass4,0.7053195560658247,0.8239448200264564
glass5,0.7241192411924119,0.8649747615879418
glass6,0.6260950605778192,0.8051899548045801
habermanImb,0.6510836762688614,0.5933260054812833
iris0,0.512,0.6357071551398565
kr-vs-k-one_vs_fifteen,0.5063865804863035,0.9636495988962094
kr-vs-k-three_vs_eleven,0.7158850043690035,0.9267519329242833
kr-vs-k-zero-one_vs_draw,0.8671810068805776,0.6656712147244321
kr-vs-k-zero_vs_eight,0.5695381354837042,0.9733069706456839
kr-vs-k-zero_vs_fifteen,0.9008925823330255,0.8528587797144964
led7digit-0-2-4-5-6-7-8-9_vs_1,0.6054453468246571,0.7045151381073451
lymphography-normal-fibrosis,0.9976525821596244,0.9583333333333334
new-thyroid1,0.8566666666666667,0.561574796192208
new-thyroid2,0.8566666666666667,0.561574796192208
page-blocks-1-3_vs_4,0.7102638352638352,0.8845912857417018
page-blocks0,0.7218831277829948,0.6148913447130933
pimaImb,0.5970447761194029,0.5796911466998211
poker-8-9_vs_5,0.744819512195122,0.7789469317507146
poker-8-9_vs_6,0.7673150684931508,0.7090020510298551
poker-8_vs_6,0.6659548751007252,0.9362981619745505
poker-9_vs_7,0.9809322033898304,0.7797101449275362
segment0,0.6162272247658162,0.8855436132303296
shuttle-2_vs_5,0.5455357533279611,0.9727590345714998
shuttle-6_vs_2-3,0.9945454545454546,0.8693578643578643
shuttle-c0-vs-c4,0.5026020072627455,0.9050319488280266
shuttle-c2-vs-c4,0.9742547425474255,0.5089285714285714
vehicle0,0.5212616405054639,0.7427467778563561
vehicle1,0.5114474734968093,0.7251152060582224
vehicle2,0.5899170221469059,0.7775800228704581
vehicle3,0.5595946669841081,0.7239684107532545
vowel0,0.8153922296461272,0.6417667846356843
winequality-red-3_vs_5,0.790308370044053,0.9122267044298532
winequality-red-4,0.6522736703361077,0.9397553073174711
winequality-red-8_vs_6,0.5525949146638802,0.957416177621222
winequality-red-8_vs_6-7,0.5408203902827559,0.9708638459543244
winequality-white-3-9_vs_5,0.8170761839396019,0.7930719055768051
winequality-white-3_vs_7,0.8686363636363635,0.5342354075810976
winequality-white-9_vs_4,0.7251533742331289,0.9391944141584344
wisconsinImb,0.6158072298239663,0.7245770079089374
yeast-0-2-5-6_vs_3-7-8-9,0.5766839667392154,0.798229151761209
yeast-0-2-5-7-9_vs_3-6-8,0.5242368435738601,0.8601201168198467
yeast-0-3-5-9_vs_7-8,0.6341666666666667,0.8175976389006459
yeast-0-5-6-7-9_vs_4,0.5930036584864554,0.8661255167877613
yeast-1-2-8-9_vs_7,0.6103235187204652,0.9334532777934208
yeast-1-4-5-8_vs_7,0.5014077425842132,0.956187613846624
yeast-1_vs_7,0.6316239316239316,0.8729355947220118
yeast-2_vs_4,0.6769999576504467,0.8279739242696886
yeast-2_vs_8,0.7967532467532468,0.6697043790800915
yeast1,0.5544692274550095,0.6918948591570809
yeast3,0.5090445516735324,0.8902310627373072
yeast4,0.594502141400873,0.9412473356689195
yeast5,0.5254261363636363,0.9698565950843598
yeast6,0.5888001577442571,0.9806053632309744
zoo-3,0.5145833333333334,0.9390067237726812
