folder_name,MO_GAAL_mm_auc,MO_GAAL_mm_avgprecision
abalone-17_vs_7-8-9-10,0.7609649122807017,0.984904830067147
abalone-19_vs_10-11-12-13,0.5284591194968553,0.9748427907513363
abalone-20_vs_8-9-10,0.6153642653642655,0.988137074823609
abalone-21_vs_8,0.8917863441672965,0.9863074765549217
abalone-3_vs_11,0.8847364818617385,0.9827969465630182
abalone19,0.7139817720907774,0.9949441104486971
abalone9-18,0.5866680489321999,0.9499234136539256
car-good,0.5480689432257952,0.9438843354244009
car-vgood,0.6387344465516444,0.9450940863329227
cleveland-0_vs_4,0.8793269230769231,0.9556257723031277
dermatology-6,0.939792899408284,0.9692441328597059
ecoli-0-1-3-7_vs_2-6,0.9734098018769551,0.9854700428032704
ecoli-0-1-4-6_vs_5,0.5642307692307693,0.9389316651593845
ecoli-0-1-4-7_vs_2-3-5-6,0.552510389756262,0.9177460687819392
ecoli-0-1-4-7_vs_5-6,0.5335504885993485,0.8691430425731134
ecoli-0-1_vs_2-3-5,0.9329545454545455,0.9456625059779903
ecoli-0-1_vs_5,0.8154545454545454,0.948124946177014
ecoli-0-2-3-4_vs_5,0.8631868131868132,0.9403705267407998
ecoli-0-2-6-7_vs_3-5,0.8044554455445545,0.9393247058951815
ecoli-0-3-4-6_vs_5,0.6110810810810812,0.9130868432276588
ecoli-0-3-4-7_vs_5-6,0.9393103448275862,0.9466383493965205
ecoli-0-3-4_vs_5,0.7933333333333333,0.9348095959576173
ecoli-0-4-6_vs_5,0.6557377049180328,0.8355181672640095
ecoli-0-6-7_vs_3-5,0.8577272727272727,0.9387642623069069
ecoli-0-6-7_vs_5,0.77075,0.9414992857148831
ecoli-0_vs_1,0.5119426028516938,0.6485881189759641
ecoli1,0.6937271222985508,0.8401344178285968
ecoli2,0.9205715059588299,0.7110902172422707
ecoli3,0.5249169435215947,0.9069147763971481
ecoli4,0.8688291139240507,0.9650005997802888
flare-F,0.7138830162085976,0.9718081756195734
glass-0-1-2-3_vs_4-5-6,0.8763382653674967,0.8590313687944816
glass-0-1-4-6_vs_2,0.6977471839799749,0.8276785832315026
glass-0-1-5_vs_2,0.5461100569259962,0.8901321854694964
glass-0-1-6_vs_2,0.5942857142857143,0.8927519830072008
glass-0-1-6_vs_5,0.5847619047619048,0.9560764462028252
glass-0-4_vs_5,0.6559571619812583,0.921911477240092
glass-0-6_vs_5,0.7115600448933782,0.8347774852553058
glass0,0.7508928571428571,0.571510178767397
glass1,0.6124141876430206,0.5615281095399673
glass2,0.5709166915497164,0.9313336101139754
glass4,0.8006123230003827,0.960744353991567
glass5,0.5707317073170731,0.9360390423586806
glass6,0.8989748369058714,0.9214198359601092
habermanImb,0.6851577503429356,0.7975249809022937
iris0,0.6268,0.7370449520804911
kr-vs-k-one_vs_fifteen,0.9916483178256031,0.9821585437210616
kr-vs-k-three_vs_eleven,0.8925008867779248,0.9848708388166537
kr-vs-k-zero-one_vs_draw,0.7107841133592206,0.9767000348687266
kr-vs-k-zero_vs_eight,0.7434545501537826,0.9878902135433003
kr-vs-k-zero_vs_fifteen,0.9995383194829178,0.9935902546808072
led7digit-0-2-4-5-6-7-8-9_vs_1,0.6775063240580481,0.9195136781003476
lymphography-normal-fibrosis,0.9870892018779343,0.9758564860216
new-thyroid1,0.5303174603174603,0.6342817263189839
new-thyroid2,0.807936507936508,0.8898887605483465
page-blocks-1-3_vs_4,0.8010778635778636,0.9641174198629853
page-blocks0,0.643948350675638,0.897803556350594
pimaImb,0.6113358208955224,0.6965216377499064
poker-8-9_vs_5,0.5000195121951219,0.9440732734330767
poker-8-9_vs_6,0.750054794520548,0.9892077510856099
poker-8_vs_6,0.792344883158743,0.9927605030550796
poker-9_vs_7,0.5858050847457628,0.9706659005759167
segment0,0.7132896937601657,0.7493315659797556
shuttle-2_vs_5,0.88405389704091,0.9920209744024817
shuttle-6_vs_2-3,0.7618181818181818,0.9703226953755886
shuttle-c0-vs-c4,0.8900294512909959,0.9637423279818511
shuttle-c2-vs-c4,0.8211382113821137,0.9681618422728594
vehicle0,0.5009203669040722,0.7195178300110437
vehicle1,0.5799015334119698,0.7845687585096738
vehicle2,0.6233930345351487,0.8028185356163249
vehicle3,0.6115632998035831,0.7991033676087709
vowel0,0.5205518436030685,0.9171234433856439
winequality-red-3_vs_5,0.5083700440528635,0.9849113315118326
winequality-red-4,0.6830530401034929,0.9076703915621244
winequality-red-8_vs_6,0.5590386624869383,0.9713559500110693
winequality-red-8_vs_6-7,0.5259524757732643,0.9705803907720986
winequality-white-3-9_vs_5,0.5877831159917639,0.9795796825047204
winequality-white-3_vs_7,0.5240909090909092,0.9119172683064676
winequality-white-9_vs_4,0.8024539877300614,0.9784868150082852
wisconsinImb,0.9875890534886351,0.7987691074966132
