folder_name,Median_KNN_mm_auc,Median_KNN_mm_avgprecision
abalone-17_vs_7-8-9-10,0.843598759830611,0.8473064914727853
abalone-19_vs_10-11-12-13,0.6430129716981132,0.9688288237558752
abalone-20_vs_8-9-10,0.8480362230362231,0.8955800383254808
abalone-21_vs_8,0.9346182917611489,0.5148368386215766
abalone-3_vs_11,0.7564681724845996,0.9776037274206715
abalone19,0.7277130613230324,0.985256785856332
abalone9-18,0.8616697767641164,0.7254377140776862
car-good,0.5,0.9600694444444444
car-vgood,0.5,0.9623842592592593
cleveland-0_vs_4,0.8591346153846153,0.53325962113153
dermatology-6,0.6915680473372781,0.9075700213670987
ecoli-0-1-3-7_vs_2-6,0.740354535974974,0.9208770237556397
ecoli-0-1-4-6_vs_5,0.7948076923076923,0.809236239765411
ecoli-0-1-4-7_vs_2-3-5-6,0.7741210827810852,0.7228277478289484
ecoli-0-1-4-7_vs_5-6,0.7787622149837135,0.8099084447415176
ecoli-0-1_vs_2-3-5,0.793844696969697,0.6855937566408875
ecoli-0-1_vs_5,0.7854545454545454,0.7887915922424018
ecoli-0-2-3-4_vs_5,0.8232142857142858,0.7493680482361553
ecoli-0-2-6-7_vs_3-5,0.8173942394239424,0.6416346392659287
ecoli-0-3-4-6_vs_5,0.8141891891891891,0.7611953801014155
ecoli-0-3-4-7_vs_5-6,0.8022413793103448,0.7618808253229379
ecoli-0-3-4_vs_5,0.8251388888888889,0.7458576120540177
ecoli-0-4-6_vs_5,0.8232240437158471,0.7086202673840327
ecoli-0-6-7_vs_3-5,0.8207954545454544,0.6355537252413519
ecoli-0-6-7_vs_5,0.802875,0.740549973832296
ecoli-0_vs_1,0.7688674961402234,0.5061176643128982
ecoli1,0.6417539988968559,0.673475315876654
ecoli2,0.5539680390032503,0.8314390025807009
ecoli3,0.5059800664451828,0.8885773451993413
ecoli4,0.7667721518987343,0.8607577044153446
flare-F,0.7054604560230966,0.9090182927717333
glass-0-1-2-3_vs_4-5-6,0.7944183808492722,0.5706741470644732
glass-0-1-4-6_vs_2,0.5955882352941176,0.9304601660546132
glass-0-1-5_vs_2,0.5091081593927894,0.901818325008174
glass-0-1-6_vs_2,0.5653781512605043,0.9189123676466657
glass-0-1-6_vs_5,0.7298412698412697,0.8479575793166426
glass-0-4_vs_5,0.7389558232931727,0.7502243116526467
glass-0-6_vs_5,0.7452300785634118,0.7537651821862348
glass0,0.7180059523809524,0.7704396297487579
glass1,0.5102498093058734,0.6383364095496971
glass2,0.5992833681696028,0.933635736917924
glass4,0.8936088786835056,0.6061019232903547
glass5,0.7181571815718156,0.894284337376477
glass6,0.6894687791239514,0.7437297268891034
habermanImb,0.6877914951989027,0.5741112226022611
iris0,0.7394000000000001,0.75209373161538
kr-vs-k-one_vs_fifteen,0.7234208158723394,0.9204120120670336
kr-vs-k-three_vs_eleven,0.7458710754669642,0.9211692672799248
kr-vs-k-zero-one_vs_draw,0.7192366646229307,0.7798165424880821
kr-vs-k-zero_vs_eight,0.528391615621204,0.9530112583598852
kr-vs-k-zero_vs_fifteen,0.6662135357887897,0.8571928516873224
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5256623618692584,0.9109446719325885
lymphography-normal-fibrosis,0.9982394366197184,0.9583333333333333
new-thyroid1,0.8841269841269842,0.5155747487341453
new-thyroid2,0.8841269841269842,0.5155747487341453
page-blocks-1-3_vs_4,0.7335907335907336,0.6862203523983947
page-blocks0,0.6639795409717637,0.6684053714436353
pimaImb,0.7052388059701492,0.5243294610424312
poker-8-9_vs_5,0.8071219512195121,0.8520799780324033
poker-8-9_vs_6,0.8246575342465753,0.872434603919066
poker-8_vs_6,0.7592667203867849,0.9488862648825023
poker-9_vs_7,0.9854343220338982,0.8102571770334928
segment0,0.7275903061169637,0.9071341696313948
shuttle-2_vs_5,0.980987987481494,0.7111262336145663
shuttle-6_vs_2-3,0.9913636363636364,0.7720093795093794
shuttle-c0-vs-c4,0.5719721880688913,0.8828603582273874
shuttle-c2-vs-c4,0.9674796747967479,0.5544973544973545
vehicle0,0.5186131585283449,0.7485769387353909
vehicle1,0.5977888975991443,0.7040982150945837
vehicle2,0.6582897504820897,0.7843951974858991
vehicle3,0.579753437295399,0.7272460752553934
vowel0,0.5548131650581539,0.892190296684535
winequality-red-3_vs_5,0.7755506607929517,0.9625639723474226
winequality-red-4,0.6075874441651004,0.935086855088755
winequality-red-8_vs_6-7,0.6060334528076463,0.9570966068878589
winequality-red-8_vs_6,0.699582027168234,0.9375701735023176
winequality-white-3-9_vs_5,0.851859986273164,0.7419115045332036
winequality-white-3_vs_7,0.9305113636363637,0.5413260553482229
winequality-white-9_vs_4,0.6233128834355828,0.9560292544686669
wisconsinImb,0.9788062120698103,0.9422751709605025
yeast-0-2-5-6_vs_3-7-8-9,0.651303086109716,0.7809328668454372
yeast-0-2-5-7-9_vs_3-6-8,0.6514091188124337,0.8123196600988538
yeast-0-3-5-9_vs_7-8,0.6421929824561404,0.8413019966616945
yeast-0-5-6-7-9_vs_4,0.6262383360052616,0.825340044090683
yeast-1-2-8-9_vs_7,0.5885496183206107,0.9474679928658614
yeast-1-4-5-8_vs_7,0.5512820512820513,0.9605718117610348
yeast-1_vs_7,0.5867909867909868,0.8936874553882997
yeast-2_vs_4,0.7745309786981747,0.7479407763089543
yeast-2_vs_8,0.7721320346320346,0.7133350466434916
yeast1,0.536362531623195,0.6814437815414627
yeast3,0.5511394509643651,0.8836581908882086
yeast4,0.6811159914070304,0.935930974647602
yeast5,0.6806423611111112,0.9379879672501185
