folder_name,OCKRA_mm_auc,OCKRA_mm_avgprecision
abalone-17_vs_7-8-9-10,0.8404189352692075,0.986024944901815
abalone-19_vs_10-11-12-13,0.6396226415094339,0.9850304776189865
abalone-20_vs_8-9-10,0.8648758648758649,0.9923593610312069
abalone-21_vs_8,0.9210128495842781,0.9864234488229422
abalone-3_vs_11,0.9656399726214921,0.9835200993919343
abalone19,0.7376267503621439,0.9951036954113304
abalone9-18,0.8425945124058332,0.9667629289813018
car-good,0.5925955045382674,0.9521239832705732
car-vgood,0.5564179656783385,0.9565544861678145
cleveland-0_vs_4,0.9081730769230769,0.956623440500224
dermatology-6,0.8852071005917159,0.9678039285806278
ecoli-0-1-3-7_vs_2-6,0.7789363920750781,0.9787047675960613
ecoli-0-1-4-6_vs_5,0.7878846153846154,0.9544058865225644
ecoli-0-1-4-7_vs_2-3-5-6,0.8078175895765473,0.9481290048889757
ecoli-0-1-4-7_vs_5-6,0.7433876221498372,0.9505072846317528
ecoli-0-1_vs_2-3-5,0.8471590909090909,0.9410214839835909
ecoli-0-1_vs_5,0.8368181818181818,0.9490967028164922
ecoli-0-2-3-4_vs_5,0.8585164835164836,0.9405026368937663
ecoli-0-2-6-7_vs_3-5,0.831908190819082,0.9405962104033028
ecoli-0-3-4-6_vs_5,0.8327027027027027,0.9397969539790513
ecoli-0-3-4-7_vs_5-6,0.7441379310344827,0.9365206913538113
ecoli-0-3-4_vs_5,0.7708333333333334,0.9346556137000291
ecoli-0-4-6_vs_5,0.8871584699453552,0.9421690630970496
ecoli-0-6-7_vs_3-5,0.759090909090909,0.9352236227206903
ecoli-0-6-7_vs_5,0.7355,0.9385778805775623
ecoli-0_vs_1,0.7299972754518208,0.829572614893209
ecoli1,0.540640826355112,0.7905874726145643
ecoli2,0.6172806067172264,0.8808352874515641
ecoli3,0.5576649264356905,0.8780256388538795
ecoli4,0.8745253164556962,0.9651813406472471
flare-F,0.7736365909659233,0.9751999354772333
glass-0-1-2-3_vs_4-5-6,0.8967881631180079,0.8593357083630613
glass-0-1-4-6_vs_2,0.5913642052565707,0.8942377048785454
glass-0-1-5_vs_2,0.5256166982922201,0.849039414351547
glass-0-1-6_vs_2,0.5485714285714285,0.9082502412440812
glass-0-1-6_vs_5,0.7968253968253969,0.9670685555248377
glass-0-4_vs_5,0.7831325301204819,0.9337084719353473
glass-0-6_vs_5,0.8024691358024691,0.9442965432177695
glass0,0.7328373015873015,0.5451603470246623
glass1,0.5589244851258581,0.6087142046225646
glass2,0.6431770677814272,0.881401229829761
glass4,0.8691159586681975,0.9633629107386411
glass5,0.7837398373983739,0.9714428860089681
