folder_name,SOD_mm_auc,SOD_mm_avgprecision
abalone-17_vs_7-8-9-10,0.747610405323654,0.9169395210479255
abalone-19_vs_10-11-12-13,0.5601415094339622,0.9743216785139145
abalone-20_vs_8-9-10,0.7212861212861214,0.9455392719723632
abalone-21_vs_8,0.7370244394053919,0.7345274463989071
abalone-3_vs_11,0.6740588637919234,0.9636150316898733
abalone19,0.5700107134234669,0.9879740102321242
abalone9-18,0.6457599004768816,0.7969885757228763
car-good,0.5278498484332277,0.9546368672794635
car-vgood,0.5121282205467413,0.9624124255374256
cleveland-0_vs_4,0.7490384615384615,0.8385019075330867
dermatology-6,0.6010355029585799,0.9284325724558563
ecoli-0-1-3-7_vs_2-6,0.799791449426486,0.9163325932140409
ecoli-0-1-4-6_vs_5,0.7428846153846154,0.7905128065486344
ecoli-0-1-4-7_vs_2-3-5-6,0.6793777378411772,0.7676632136198028
ecoli-0-1-4-7_vs_5-6,0.6643648208469055,0.8287121809903039
ecoli-0-1_vs_2-3-5,0.7550189393939394,0.7086423170728172
ecoli-0-1_vs_5,0.6177272727272727,0.835809943065842
ecoli-0-2-3-4_vs_5,0.6282967032967033,0.8357848981614338
ecoli-0-2-6-7_vs_3-5,0.7438118811881188,0.633938597032677
ecoli-0-3-4-6_vs_5,0.6358108108108108,0.8334197286404988
ecoli-0-3-4-7_vs_5-6,0.6874137931034483,0.7958894513006718
ecoli-0-3-4_vs_5,0.6552777777777778,0.8196184350317237
ecoli-0-4-6_vs_5,0.6386612021857924,0.8143860569549535
ecoli-0-6-7_vs_3-5,0.7753409090909091,0.5916196423690698
ecoli-0-6-7_vs_5,0.7435,0.6957978935400826
ecoli-0_vs_1,0.6330033602760875,0.5460785617568364
ecoli1,0.5048638620067192,0.7383251095114176
ecoli2,0.5114775189599133,0.8370017440800119
ecoli3,0.5213573801613669,0.903108753168581
ecoli4,0.554113924050633,0.9016522627093468
flare-F,0.6072313532928686,0.931865472439431
glass-0-1-2-3_vs_4-5-6,0.7899675207506315,0.5389818126421376
glass-0-1-4-6_vs_2,0.6195244055068836,0.9326102608156447
glass-0-1-5_vs_2,0.5062618595825427,0.8916978493460779
glass-0-1-6_vs_2,0.6228571428571428,0.9295690880263477
glass-0-1-6_vs_5,0.813968253968254,0.8310247758563103
glass-0-4_vs_5,0.8326639892904952,0.6835644021918532
glass-0-6_vs_5,0.8316498316498316,0.6968482046674299
glass0,0.6534722222222222,0.7531593555705393
glass1,0.5397597254004577,0.655381042827544
glass2,0.5885338907136459,0.9298934724782619
glass4,0.7064676616915424,0.7860426023383161
glass5,0.8200542005420054,0.8452596796294275
glass6,0.7422180801491147,0.7310146040036682
habermanImb,0.6013168724279836,0.662310472647915
iris0,0.6462,0.7445254420895644
kr-vs-k-one_vs_fifteen,0.794774131685489,0.8687711569444426
kr-vs-k-three_vs_eleven,0.5508772612837083,0.967709132553636
kr-vs-k-zero-one_vs_draw,0.7752333265208803,0.6630191346452035
kr-vs-k-zero_vs_eight,0.5823059626269675,0.9419727412846054
kr-vs-k-zero_vs_fifteen,0.6499435723812454,0.7842789645536528
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5021302090267608,0.9059782129759556
lymphography-normal-fibrosis,0.8192488262910798,0.6158837408837409
new-thyroid1,0.6655555555555556,0.8075893940753268
new-thyroid2,0.7220634920634921,0.8264348837907014
