folder_name,SO_GAAL_mm_auc,SO_GAAL_mm_avgprecision
abalone-17_vs_7-8-9-10,0.7403281911675741,0.9837499419213954
abalone-19_vs_10-11-12-13,0.5173742138364781,0.9808669679458515
abalone-20_vs_8-9-10,0.8283068783068783,0.9921162825262679
abalone-21_vs_8,0.7310405643738977,0.983664965321475
abalone-3_vs_11,0.9745379876796715,0.9837947458219387
abalone19,0.6720787059391599,0.9946304544840173
abalone9-18,0.5541156956251296,0.9338060891904576
car-good,0.5168383258641926,0.9608817577223112
car-vgood,0.5632915491003284,0.9548500610547754
cleveland-0_vs_4,0.8105769230769231,0.9527045645057607
dermatology-6,0.789792899408284,0.9647237101785956
ecoli-0-1-3-7_vs_2-6,0.9264859228362878,0.9851251723858243
ecoli-0-1-4-6_vs_5,0.7621153846153846,0.9529308489647346
ecoli-0-1-4-7_vs_2-3-5-6,0.8010782882174547,0.9456808706785972
ecoli-0-1-4-7_vs_5-6,0.8936807817589576,0.9569900140442934
ecoli-0-1_vs_2-3-5,0.7115530303030302,0.612989014755124
ecoli-0-1_vs_5,0.9420454545454545,0.9533603681148063
ecoli-0-2-3-4_vs_5,0.9354395604395604,0.9443551127393605
ecoli-0-2-6-7_vs_3-5,0.5627812781278128,0.9061452511077179
ecoli-0-3-4-6_vs_5,0.7408108108108108,0.9349584025563366
ecoli-0-3-4-7_vs_5-6,0.690344827586207,0.9313518236304852
ecoli-0-3-4_vs_5,0.673611111111111,0.6950005653329712
ecoli-0-4-6_vs_5,0.9120218579234972,0.9438060303163861
ecoli-0-6-7_vs_3-5,0.9111363636363636,0.9439048575528924
ecoli-0-6-7_vs_5,0.82975,0.9426904479288518
ecoli-0_vs_1,0.961220597584234,0.5555805036904564
ecoli1,0.8610540039111466,0.7016237985973504
ecoli2,0.6158586132177681,0.8806265224703421
ecoli3,0.817750355956336,0.6799775775129657
ecoli4,0.8340189873417722,0.9642931660795248
flare-F,0.7418559185250858,0.9744725070538927
glass-0-1-2-3_vs_4-5-6,0.904607241669674,0.8619562308638878
glass-0-1-4-6_vs_2,0.6292240300375469,0.8784361768447211
glass-0-1-5_vs_2,0.5199240986717267,0.9024380865248902
glass-0-1-6_vs_2,0.6588235294117647,0.8194981509416924
glass-0-1-6_vs_5,0.7574603174603174,0.8775674166215738
glass-0-4_vs_5,0.5194109772423026,0.8970913512716832
glass-0-6_vs_5,0.611672278338945,0.929169758621482
glass0,0.7610119047619047,0.6049590319590923
glass1,0.5061022120518688,0.6674785752030756
glass2,0.6601970737533592,0.797301786275919
glass4,0.7148871029468045,0.9543814844612999
glass5,0.6607046070460705,0.7623543085126473
glass6,0.8080149114631874,0.9162289961422105
habermanImb,0.5880932784636488,0.7655148517087216
iris0,1.0,1.0
kr-vs-k-one_vs_fifteen,0.9969576437720482,0.9821824286613359
kr-vs-k-three_vs_eleven,0.5472284945538859,0.9762658960969337
kr-vs-k-zero-one_vs_draw,0.7062129572859187,0.976425584247006
kr-vs-k-zero_vs_eight,0.769868961774056,0.9883629453602552
kr-vs-k-zero_vs_fifteen,0.999658014431791,0.9935904516951225
led7digit-0-2-4-5-6-7-8-9_vs_1,0.599054719744375,0.8408087806116304
lymphography-normal-fibrosis,0.9730046948356808,0.9756823948115617
new-thyroid1,0.8788888888888889,0.9047006217865123
new-thyroid2,0.7022222222222222,0.8291062508020822
page-blocks-1-3_vs_4,0.7775096525096525,0.9632416877028837
page-blocks0,0.5450305803994878,0.8612917580969521
pimaImb,0.5306007462686567,0.6107954395945897
poker-8-9_vs_5,0.5218536585365854,0.9645419336850014
poker-8-9_vs_6,0.6213972602739726,0.9858034229434474
poker-8_vs_6,0.7022159548751007,0.9920217870346699
poker-9_vs_7,0.5905720338983051,0.9681267810820536
segment0,0.7327055665029926,0.7555534785366054
shuttle-2_vs_5,0.9915293941267967,0.9923829907600561
shuttle-6_vs_2-3,0.9140909090909091,0.9748487050693841
shuttle-c0-vs-c4,0.8785586976620059,0.963460322285081
shuttle-c2-vs-c4,0.978319783197832,0.9719611919963058
vehicle0,0.8132470699711851,0.6043409103114981
vehicle1,0.5476691112364738,0.7274065252577421
vehicle2,0.5897271080465143,0.7942300237853599
vehicle3,0.6409439914290815,0.8119184104712034
vowel0,0.5863647611977234,0.8263773991277057
winequality-red-3_vs_5,0.6002936857562409,0.9779396288436126
winequality-red-4,0.6362371549220143,0.9365158036195362
winequality-red-8_vs_6,0.5291710205503309,0.9705933829362386
winequality-red-8_vs_6-7,0.532258064516129,0.9688015041005898
winequality-white-3-9_vs_5,0.6375840768702814,0.985031303058717
winequality-white-3_vs_7,0.7575568181818182,0.9847717253169256
winequality-white-9_vs_4,0.5165644171779141,0.9458021621700219
wisconsinImb,0.9899355422367975,0.7986675308363856
yeast-0-2-5-6_vs_3-7-8-9,0.5393492940454266,0.9024190371474664
yeast-0-2-5-7-9_vs_3-6-8,0.633908142195435,0.9272252372462529
yeast-0-3-5-9_vs_7-8,0.5054824561403508,0.8860286337427888
yeast-0-5-6-7-9_vs_4,0.6323426645291241,0.8483385574798284
yeast-1-2-8-9_vs_7,0.6208287895310796,0.9436764362095286
yeast-1-4-5-8_vs_7,0.5386626445449976,0.9504397363082415
yeast-1_vs_7,0.5351204351204352,0.9331317973235513
yeast-2_vs_4,0.6662008215813323,0.9300758017031528
yeast-2_vs_8,0.7141774891774892,0.9635242639494759
yeast1,0.6395320319490936,0.7802309558295287
yeast3,0.5530621438490082,0.9091044135270986
yeast4,0.5472955406866166,0.9540776318797837
yeast5,0.5837594696969697,0.9758055808678914
yeast6,0.5101449275362319,0.9747107436235378
zoo-3,0.5791666666666667,0.9257923598847476
