folder_name,VAR_LMDD_mm_auc,VAR_LMDD_mm_avgprecision
abalone-17_vs_7-8-9-10,0.5154038112522686,0.9195817626147561
abalone-19_vs_10-11-12-13,0.5780562106918239,0.9800903446528436
abalone-20_vs_8-9-10,0.5454619454619455,0.9543620916509505
abalone-21_vs_8,0.8300579491055682,0.6441195363553504
abalone-3_vs_11,1.0,1.0
abalone19,0.5095590898116852,0.9882871584495914
abalone9-18,0.6744764669292971,0.8739390846064676
car-good,0.5693669138908544,0.9462376810839497
car-vgood,0.6423377584532125,0.9348001371339454
cleveland-0_vs_4,0.9302884615384616,0.5168493342406386
dermatology-6,0.6264792899408285,0.9564219093492423
ecoli-0-1-3-7_vs_2-6,0.6050573514077164,0.9575514623642704
ecoli-0-1-4-6_vs_5,0.5232692307692308,0.9218577479961831
ecoli-0-1-4-7_vs_2-3-5-6,0.5783443782994496,0.8511249878316207
ecoli-0-1-4-7_vs_5-6,0.604299674267101,0.8942339634422338
ecoli-0-1_vs_2-3-5,0.521969696969697,0.8873084725002899
ecoli-0-1_vs_5,0.53,0.9163698351360979
ecoli-0-2-3-4_vs_5,0.553021978021978,0.9135884236676856
ecoli-0-2-6-7_vs_3-5,0.502025202520252,0.840334105871128
ecoli-0-3-4-6_vs_5,0.55,0.9128766469752195
ecoli-0-3-4-7_vs_5-6,0.5651724137931035,0.9043671706917121
ecoli-0-3-4_vs_5,0.5338888888888889,0.9106014770375532
ecoli-0-4-6_vs_5,0.5789617486338797,0.9122432335454983
ecoli-0-6-7_vs_3-5,0.52,0.8800564707097208
ecoli-0-6-7_vs_5,0.558875,0.8838207677066758
ecoli-0_vs_1,0.9614476432658251,0.609574799374596
ecoli1,0.7578097578097578,0.6228990410962303
ecoli2,0.5763475081256773,0.8619833266401311
ecoli3,0.8660180351210252,0.6239368758268505
ecoli4,0.6564082278481013,0.8402601798600072
flare-F,0.7171565618677396,0.8777129549831546
glass-0-1-2-3_vs_4-5-6,0.5849272224227114,0.6807490529692333
glass-0-1-4-6_vs_2,0.5012515644555694,0.9194658910065481
glass-0-1-5_vs_2,0.5512333965844403,0.9062345148297637
glass-0-1-6_vs_2,0.5485714285714285,0.9194351604278075
glass-0-1-6_vs_5,0.5923809523809522,0.8084169453734671
glass-0-4_vs_5,0.5829986613119142,0.8315780998389695
glass-0-6_vs_5,0.6644219977553312,0.7128534938879767
glass0,0.5543650793650794,0.6988997390460141
glass1,0.5233600305110603,0.618184137224153
glass2,0.5316512391758734,0.9173903676791899
glass4,0.5388442403367777,0.8896263393926945
glass5,0.567479674796748,0.9182537355273417
glass6,0.5954333643988816,0.8382032286778708
habermanImb,0.5063100137174211,0.7395762704731681
iris0,0.89,0.6881795070865635
kr-vs-k-one_vs_fifteen,0.6154319672325214,0.9256319167695971
kr-vs-k-three_vs_eleven,0.5987178488930416,0.973477271648677
kr-vs-k-zero-one_vs_draw,0.5773996866271545,0.9652207719078041
kr-vs-k-zero_vs_eight,0.7000982140549482,0.9831442838050427
kr-vs-k-zero_vs_fifteen,0.6201993775862659,0.9804972101690771
led7digit-0-2-4-5-6-7-8-9_vs_1,0.9140260950605779,0.5359224038920889
lymphography-normal-fibrosis,0.703638497652582,0.9057505557505557
new-thyroid1,0.7755555555555557,0.5089657763389156
new-thyroid2,0.7665079365079364,0.5178927282096396
page-blocks-1-3_vs_4,0.5806788931788931,0.9396259169470714
page-blocks0,0.7407930185586995,0.5243406360455034
pimaImb,0.6727611940298507,0.5673502110468785
poker-8-9_vs_5,0.569990243902439,0.8759614522063579
poker-8-9_vs_6,0.6292191780821917,0.8894037409264386
poker-8_vs_6,0.5444601128122482,0.9776047619442809
poker-9_vs_7,0.7266949152542372,0.6039479528385691
segment0,0.6578097378093077,0.8587209388883382
shuttle-2_vs_5,0.9953336706583459,0.6729866186811795
shuttle-6_vs_2-3,0.6590909090909091,0.9565217391304348
shuttle-c0-vs-c4,0.7274707155043414,0.8569294443468852
shuttle-c2-vs-c4,0.66260162601626,0.8392269052323772
vehicle0,0.6378336815452843,0.805293875938505
vehicle1,0.6216289480046596,0.6796968863753385
vehicle2,0.6194523169520249,0.7122625214593767
vehicle3,0.6137432295696685,0.703492037541186
vowel0,0.8491709972779015,0.5277489874376151
winequality-red-3_vs_5,0.6918502202643171,0.9637762913293275
winequality-red-4,0.5117344821694452,0.9567510524601385
winequality-red-8_vs_6,0.6906130268199234,0.9092629524497879
winequality-red-8_vs_6-7,0.6947763175361742,0.954677750752311
winequality-white-3-9_vs_5,0.7312697323266987,0.9270698056349422
winequality-white-3_vs_7,0.6705681818181817,0.8029246167437524
winequality-white-9_vs_4,0.649079754601227,0.9530571590265987
wisconsinImb,0.5925166798597761,0.5417968842264196
yeast-0-2-5-6_vs_3-7-8-9,0.7875327864278141,0.5192961971827056
yeast-0-2-5-7-9_vs_3-6-8,0.8756292203806015,0.5261145722962521
yeast-0-3-5-9_vs_7-8,0.5701754385964912,0.8630581410427294
yeast-0-5-6-7-9_vs_4,0.6905084885107082,0.7953905143063538
yeast-1-2-8-9_vs_7,0.621701199563795,0.9327704459535846
yeast-1-4-5-8_vs_7,0.607440925087984,0.922765982269112
yeast-1_vs_7,0.7052836052836053,0.7995033118042741
yeast-2_vs_4,0.8623004277304873,0.5064497288246758
yeast-2_vs_8,0.7121212121212122,0.778200347978445
yeast1,0.5882411427435124,0.7406902378509697
yeast3,0.5864584833018303,0.9008179896144227
yeast4,0.7913057756249744,0.8593498126107707
yeast5,0.9536142676767676,0.7227906970372279
yeast6,0.8341516316671597,0.9005656091559521
zoo-3,0.6072916666666667,0.948921118797676
