folder_name,XGBOD_mm_auc,XGBOD_mm_avgprecision
abalone-17_vs_7-8-9-10,0.5,0.9751924721984602
abalone-19_vs_10-11-12-13,0.5,0.9802712700369913
abalone-20_vs_8-9-10,0.5,0.9864300626304802
abalone-21_vs_8,0.5,0.9759036144578314
abalone-3_vs_11,0.5,0.9701195219123506
abalone19,0.5,0.9923334930522281
abalone9-18,0.5,0.9425444596443229
car-good,0.5,0.9600694444444444
car-vgood,0.5,0.9623842592592593
cleveland-0_vs_4,0.5,0.9248554913294798
dermatology-6,0.5,0.9441340782122905
ecoli-0-1-3-7_vs_2-6,0.5,0.9750889679715302
ecoli-0-1-4-6_vs_5,0.5,0.9285714285714286
ecoli-0-1-4-7_vs_2-3-5-6,0.5,0.9136904761904762
ecoli-0-1-4-7_vs_5-6,0.5,0.9246987951807228
ecoli-0-1_vs_2-3-5,0.5,0.9016393442622951
ecoli-0-1_vs_5,0.5,0.9166666666666666
ecoli-0-2-3-4_vs_5,0.5,0.900990099009901
ecoli-0-2-6-7_vs_3-5,0.5,0.9017857142857143
ecoli-0-3-4-6_vs_5,0.5,0.9024390243902439
ecoli-0-3-4-7_vs_5-6,0.5,0.9027237354085603
ecoli-0-3-4_vs_5,0.5,0.9
ecoli-0-4-6_vs_5,0.5,0.9014778325123153
ecoli-0-6-7_vs_3-5,0.5,0.9009009009009009
ecoli-0-6-7_vs_5,0.5,0.9090909090909091
ecoli-0_vs_1,0.5,0.65
ecoli1,0.5,0.7708333333333334
ecoli2,0.5,0.8452380952380952
ecoli3,0.5,0.8958333333333334
ecoli4,0.5,0.9404761904761905
flare-F,0.5,0.9596622889305816
glass-0-1-2-3_vs_4-5-6,0.5,0.7616822429906542
glass-0-1-4-6_vs_2,0.5,0.9170731707317074
glass-0-1-5_vs_2,0.5,0.9011627906976745
glass-0-1-6_vs_2,0.5,0.9114583333333334
glass-0-1-6_vs_5,0.5,0.9510869565217391
glass-0-4_vs_5,0.5,0.9021739130434783
glass-0-6_vs_5,0.5,0.9166666666666666
glass0,0.5,0.6728971962616823
glass1,0.5,0.6448598130841121
glass2,0.5,0.9205607476635514
glass4,0.5,0.9392523364485982
glass5,0.5,0.9579439252336449
glass6,0.5,0.8644859813084113
habermanImb,0.5,0.7352941176470589
iris0,0.5,0.6666666666666667
kr-vs-k-one_vs_fifteen,0.5,0.9652406417112299
kr-vs-k-three_vs_eleven,0.5,0.9724020442930154
kr-vs-k-zero-one_vs_draw,0.5,0.9638055842812823
kr-vs-k-zero_vs_eight,0.5,0.9815068493150685
kr-vs-k-zero_vs_fifteen,0.5,0.987688098495212
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5,0.9164785553047404
lymphography-normal-fibrosis,0.5,0.9594594594594594
new-thyroid1,0.5,0.8372093023255813
new-thyroid2,0.5,0.8372093023255813
page-blocks-1-3_vs_4,0.5,0.940677966101695
page-blocks0,0.5,0.897843567251462
pimaImb,0.5,0.6510416666666667
poker-8-9_vs_5,0.5,0.9879518072289156
poker-8-9_vs_6,0.5,0.9831649831649831
poker-8_vs_6,0.5,0.9884901828029791
poker-9_vs_7,0.5,0.9672131147540983
segment0,0.5,0.8574523396880416
shuttle-2_vs_5,0.5,0.9852231604342582
shuttle-6_vs_2-3,0.5,0.9565217391304348
shuttle-c0-vs-c4,0.5,0.932750136686714
shuttle-c2-vs-c4,0.5,0.9534883720930233
vehicle0,0.5,0.7647754137115839
vehicle1,0.5,0.7434988179669031
vehicle2,0.5,0.7423167848699763
vehicle3,0.5,0.7494089834515367
vowel0,0.5,0.9089068825910931
winequality-red-3_vs_5,0.5,0.9855282199710564
winequality-red-4,0.5,0.9668542839274546
winequality-red-8_vs_6-7,0.5,0.9789473684210527
winequality-red-8_vs_6,0.5,0.9725609756097561
winequality-white-3-9_vs_5,0.5,0.9831309041835358
winequality-white-3_vs_7,0.5,0.9777777777777777
winequality-white-9_vs_4,0.5,0.9702380952380952
wisconsinImb,0.5,0.6500732064421669
yeast-0-2-5-6_vs_3-7-8-9,0.5,0.901394422310757
yeast-0-2-5-7-9_vs_3-6-8,0.5,0.901394422310757
yeast-0-3-5-9_vs_7-8,0.5,0.9011857707509882
yeast-0-5-6-7-9_vs_4,0.5,0.9034090909090909
yeast-1-2-8-9_vs_7,0.5,0.9683210137275607
yeast-1-4-5-8_vs_7,0.5,0.9567099567099567
yeast-1_vs_7,0.5,0.934640522875817
yeast-2_vs_4,0.5,0.9007782101167315
yeast-2_vs_8,0.5,0.9585062240663901
yeast1,0.5,0.7109164420485174
yeast3,0.5,0.8901617250673854
yeast4,0.5,0.965633423180593
yeast5,0.5,0.9703504043126685
yeast6,0.5,0.9764150943396226
zoo-3,0.5,0.9504950495049505
