folder_name,OCSVM_mm_auc,OCSVM_mm_avgprecision
abalone-17_vs_7-8-9-10,0.559180278,0.976704148
abalone-19_vs_10-11-12-13,0.562126572,0.975633665
abalone-20_vs_8-9-10,0.559442409,0.986942093
abalone-21_vs_8,0.82149156,0.985370406
abalone-3_vs_11,0.999726215,0.983912783
abalone19,0.533973624,0.990411236
abalone9-18,0.646416477,0.954614903
car-good,0.557468704,0.955408922
car-vgood,0.573403025,0.949166609
cleveland-0_vs_4,0.860096154,0.955229104
dermatology-6,0.733727811,0.96261621
ecoli-0-1-3-7_vs_2-6,0.858706986,0.984209997
ecoli-0-1-4-6_vs_5,0.711538462,0.951208338
ecoli-0-1-4-7_vs_2-3-5-6,0.735033135,0.943203769
ecoli-0-1-4-7_vs_5-6,0.739413681,0.950698042
ecoli-0-1_vs_2-3-5,0.789204545,0.938888735
ecoli-0-1_vs_5,0.784318182,0.947745447
ecoli-0-2-3-4_vs_5,0.749175824,0.934885013
ecoli-0-2-6-7_vs_3-5,0.789828983,0.938584174
ecoli-0-3-4-6_vs_5,0.719189189,0.93348085
ecoli-0-3-4-7_vs_5-6,0.750517241,0.936944487
ecoli-0-3-4_vs_5,0.751666667,0.934390235
ecoli-0-4-6_vs_5,0.728415301,0.933552398
ecoli-0-6-7_vs_3-5,0.795681818,0.938403573
ecoli-0-6-7_vs_5,0.7725,0.941761072
ecoli-0_vs_1,0.751067115,0.837461888
ecoli1,0.587123301,0.806060724
ecoli2,0.583085049,0.807357466
ecoli3,0.633981965,0.921856679
ecoli4,0.697310127,0.958442315
flare-F,0.775205165,0.975393233
glass-0-1-2-3_vs_4-5-6,0.780825214,0.791596202
glass-0-1-4-6_vs_2,0.633604506,0.861797233
glass-0-1-5_vs_2,0.563946869,0.858293078
glass-0-1-6_vs_2,0.628235294,0.844511204
glass-0-1-6_vs_5,0.568253968,0.739298739
glass-0-4_vs_5,0.523427041,0.785388
glass-0-6_vs_5,0.638608305,0.589653861
glass0,0.643253968,0.611770084
glass1,0.546529367,0.607884083
glass2,0.653627949,0.867620569
glass4,0.732491389,0.949482619
glass5,0.595663957,0.740573024
glass6,0.854799627,0.91635441
habermanImb,0.520438957,0.734592461
iris0,0.6802,0.751385252
kr-vs-k-one_vs_fifteen,0.997721192,0.982188068
kr-vs-k-three_vs_eleven,0.718523709,0.982321322
kr-vs-k-zero-one_vs_draw,0.676531099,0.975531822
kr-vs-k-zero_vs_eight,0.612984932,0.985763922
kr-vs-k-zero_vs_fifteen,1,0.993590665
led7digit-0-2-4-5-6-7-8-9_vs_1,0.73415657,0.929928943
lymphography-normal-fibrosis,0.990610329,0.97594221
new-thyroid1,0.88031746,0.905107314
new-thyroid2,0.88031746,0.905107314
page-blocks-1-3_vs_4,0.520511583,0.881592607
page-blocks0,0.89196291,0.944371385
pimaImb,0.602261194,0.694896132
poker-8-9_vs_5,0.565209756,0.927051363
poker-8-9_vs_6,0.561260274,0.822959125
poker-8_vs_6,0.522481869,0.749305342
poker-9_vs_7,0.798728814,0.977950714
segment0,0.718704451,0.788314381
shuttle-2_vs_5,0.990604874,0.992381673
shuttle-6_vs_2-3,0.718636364,0.968984275
shuttle-c0-vs-c4,0.972135647,0.964746372
shuttle-c2-vs-c4,0.953929539,0.971683128
vehicle0,0.549369723,0.682155905
vehicle1,0.557728235,0.762239158
vehicle2,0.583423421,0.716684122
vehicle3,0.57367121,0.781735417
vowel0,0.926119772,0.950749994
winequality-red-3_vs_5,0.765785609,0.990327458
winequality-red-4,0.604896385,0.967849481
winequality-red-8_vs_6,0.651515152,0.977594481
winequality-red-8_vs_6-7,0.609119873,0.978933818
winequality-white-3-9_vs_5,0.774852437,0.989229184
winequality-white-3_vs_7,0.778295455,0.986240573
winequality-white-9_vs_4,0.647852761,0.973923891
wisconsinImb,0.80512835,0.728214828
yeast-0-2-5-6_vs_3-7-8-9,0.777733132,0.938086921
yeast-0-2-5-7-9_vs_3-6-8,0.846531614,0.943157361
yeast-0-3-5-9_vs_7-8,0.602105263,0.916210828
yeast-0-5-6-7-9_vs_4,0.655280141,0.930325654
yeast-1-2-8-9_vs_7,0.647473646,0.976501399
yeast-1-4-5-8_vs_7,0.524987431,0.952129621
yeast-1_vs_7,0.670784771,0.952635982
yeast-2_vs_4,0.865624868,0.94374414
yeast-2_vs_8,0.73495671,0.961503916
yeast1,0.537807532,0.682830781
yeast3,0.550823646,0.908654643
yeast4,0.765376353,0.979044447
yeast5,0.915230429,0.983753252
yeast6,0.801459134,0.985945531
zoo-3,0.73125,0.636284906
