folder_name,AAD_LMDD_auc,AAD_LMDD_avgprecision
abalone-17_vs_7-8-9-10,0.685197368,0.89601901
abalone-19_vs_10-11-12-13,0.526454403,0.977729877
abalone-20_vs_8-9-10,0.647761498,0.959811288
abalone-21_vs_8,0.847442681,0.613024396
abalone-3_vs_11,0.724845996,0.970119522
abalone19,0.656581965,0.985925678
abalone9-18,0.667185016,0.843757644
car-good,0.500026208,0.960067432
car-vgood,0.507040104,0.962655271
cleveland-0_vs_4,0.555769231,0.897626061
dermatology-6,0.732248521,0.944134078
ecoli-0-1-3-7_vs_2-6,0.737226277,0.937483767
ecoli-0-1-4-6_vs_5,0.680865385,0.792010745
ecoli-0-1-4-7_vs_2-3-5-6,0.75463327,0.753413284
ecoli-0-1-4-7_vs_5-6,0.682019544,0.881600371
ecoli-0-1_vs_2-3-5,0.629356061,0.819041481
ecoli-0-1_vs_5,0.715795455,0.849710639
ecoli-0-2-3-4_vs_5,0.690659341,0.813175519
ecoli-0-2-6-7_vs_3-5,0.857110711,0.591386851
ecoli-0-3-4-6_vs_5,0.593108108,0.778297286
ecoli-0-3-4-7_vs_5-6,0.776810345,0.639084828
ecoli-0-3-4_vs_5,0.741388889,0.815357446
ecoli-0-4-6_vs_5,0.702459016,0.695676489
ecoli-0-6-7_vs_3-5,0.843295455,0.500607966
ecoli-0-6-7_vs_5,0.819125,0.618812386
ecoli-0_vs_1,0.78707656,0.526309767
ecoli1,0.710098782,0.672208434
ecoli2,0.695557963,0.889775412
ecoli3,0.775605126,0.728529727
ecoli4,0.761867089,0.8542239
flare-F,0.714133079,0.898382637
glass-0-1-2-3_vs_4-5-6,0.729099002,0.513146202
glass-0-1-4-6_vs_2,0.58557572,0.922637737
glass-0-1-5_vs_2,0.55085389,0.906138037
glass-0-1-6_vs_2,0.590252101,0.915076842
glass-0-1-6_vs_5,0.744444444,0.74584505
glass-0-4_vs_5,0.963855422,0.731864383
glass-0-6_vs_5,0.703703704,0.664372838
glass0,0.630208333,0.677212951
glass1,0.56021167,0.651892598
glass2,0.57808301,0.923798925
glass4,0.538461538,0.941958737
glass5,0.837940379,0.655704462
glass6,0.887325256,0.513746996
habermanImb,0.553497942,0.749269918
iris0,0.6033,0.650953768
kr-vs-k-one_vs_fifteen,0.56743495,0.965645051
kr-vs-k-three_vs_eleven,0.643658024,0.972402044
kr-vs-k-zero-one_vs_draw,0.656492268,0.963717393
kr-vs-k-zero_vs_eight,0.631580988,0.982101885
kr-vs-k-zero_vs_fifteen,0.626269621,0.987688098
led7digit-0-2-4-5-6-7-8-9_vs_1,0.891226202,0.525654435
lymphography-normal-fibrosis,0.687206573,0.847597598
new-thyroid1,0.569047619,0.827902717
new-thyroid2,0.591507937,0.816070364
page-blocks-1-3_vs_4,0.760698198,0.683941045
page-blocks0,0.504237052,0.836031333
pimaImb,0.591507463,0.566806705
poker-8-9_vs_5,0.712926829,0.811460358
poker-8-9_vs_6,0.634958904,0.974843574
poker-8_vs_6,0.539041096,0.986101882
poker-9_vs_7,0.796610169,0.908929636
segment0,0.649823143,0.85745234
shuttle-2_vs_5,0.508417508,0.98522316
shuttle-6_vs_2-3,1,1
shuttle-c0-vs-c4,0.995348793,0.860872909
shuttle-c2-vs-c4,0.524390244,0.953488372
vehicle0,0.573415765,0.764775414
vehicle1,0.599012404,0.711120561
vehicle2,0.534783498,0.705533458
vehicle3,0.637997738,0.664056248
vowel0,0.526453848,0.906327967
winequality-red-3_vs_5,0.633627019,0.98552822
winequality-red-4,0.555328419,0.96811011
winequality-red-8_vs_6-7,0.524857295,0.976629813
winequality-red-8_vs_6,0.504528039,0.956572641
winequality-white-3-9_vs_5,0.56108442,0.881225737
winequality-white-3_vs_7,0.670852273,0.694429803
winequality-white-9_vs_4,0.524539877,0.96637736
wisconsinImb,0.615986279,0.528685659
yeast-0-2-5-6_vs_3-7-8-9,0.754662649,0.674515872
yeast-0-2-5-7-9_vs_3-6-8,0.782153022,0.770122482
yeast-0-3-5-9_vs_7-8,0.610175439,0.86882541
yeast-0-5-6-7-9_vs_4,0.734102027,0.768853253
yeast-1-2-8-9_vs_7,0.589040349,0.943006532
yeast-1-4-5-8_vs_7,0.607918552,0.89973455
yeast-1_vs_7,0.773154623,0.799847126
yeast-2_vs_4,0.721890484,0.678965817
yeast-2_vs_8,0.535335498,0.911219134
yeast1,0.56546029,0.742056151
yeast3,0.626858255,0.91862256
yeast4,0.751412777,0.901365032
yeast5,0.889977904,0.824899909
yeast6,0.817726511,0.901824396
zoo-3,0.635416667,0.95049505
