folder_name,AVE_Bagging_auc,AVE_Bagging_avgprecision
abalone-17_vs_7-8-9-10,0.815948275862069,0.9150227004261516
abalone-19_vs_10-11-12-13,0.6406446540880503,0.9659452488954307
abalone-20_vs_8-9-10,0.8695970695970696,0.918526915701393
abalone-21_vs_8,0.893172083648274,0.691916270939425
abalone-3_vs_11,0.951813826146475,0.7567452999993793
abalone19,0.6398780782230806,0.98786719494065
abalone9-18,0.8048932199875596,0.7163470130005717
car-good,0.5851656751491645,0.9471379029243892
car-vgood,0.6524353577871317,0.973121997655445
cleveland-0_vs_4,0.6913461538461538,0.8569610975788253
dermatology-6,0.5585798816568047,0.9384254893333828
ecoli-0-1-3-7_vs_2-6,0.821689259645464,0.5843770399030014
ecoli-0-1-4-6_vs_5,0.770576923076923,0.8598724684596072
ecoli-0-1-4-7_vs_2-3-5-6,0.7331236661799393,0.6531489909992093
ecoli-0-1-4-7_vs_5-6,0.7580456026058632,0.759689836067076
ecoli-0-1_vs_2-3-5,0.7833333333333333,0.6978241049327449
ecoli-0-1_vs_5,0.7963636363636364,0.8121253932073688
ecoli-0-2-3-4_vs_5,0.7804945054945055,0.7663590079506748
ecoli-0-2-6-7_vs_3-5,0.7162466246624662,0.7531688002088862
ecoli-0-3-4-6_vs_5,0.741891891891892,0.7900044820207508
ecoli-0-3-4-7_vs_5-6,0.7341379310344828,0.7102008630314205
ecoli-0-3-4_vs_5,0.7830555555555556,0.7633822111954993
ecoli-0-4-6_vs_5,0.780601092896175,0.787178305567919
ecoli-0-6-7_vs_3-5,0.7177272727272728,0.7501616506912434
ecoli-0-6-7_vs_5,0.714,0.8131703441057464
ecoli-0_vs_1,0.5901371355916811,0.577849782492526
ecoli1,0.5868224439653011,0.7028430505630003
ecoli2,0.5892470205850489,0.8750896320035646
ecoli3,0.5022306597057427,0.8909131013800737
ecoli4,0.7072784810126581,0.8986902769147681
flare-F,0.5967969265043533,0.9275820689005702
glass-0-1-2-3_vs_4-5-6,0.5953326115722363,0.5444779146043928
glass-0-1-4-6_vs_2,0.5012515644555695,0.9157874239175524
glass-0-1-5_vs_2,0.5138519924098671,0.9029402656166619
glass-0-1-6_vs_2,0.5196638655462185,0.9054494762103354
glass-0-1-6_vs_5,0.8222222222222223,0.8350739756603894
glass-0-4_vs_5,0.8768406961178046,0.6789655996177735
glass-0-6_vs_5,0.89337822671156,0.6791022158669218
glass0,0.6494047619047619,0.7515667399120796
glass1,0.5706521739130435,0.611525550331919
glass2,0.511495968945954,0.9210610313208896
glass4,0.8350554917719097,0.6601168342973227
glass5,0.7880758807588075,0.8767861693852012
glass6,0.6145386766076422,0.8325356597031418
habermanImb,0.6415912208504801,0.637902852938464
iris0,0.5105999999999999,0.6123342187737071
kr-vs-k-one_vs_fifteen,0.5458365887728769,0.9563020759059431
kr-vs-k-three_vs_eleven,0.6092899720556809,0.9652465936046033
kr-vs-k-zero-one_vs_draw,0.6449042850330404,0.9109974819640978
kr-vs-k-zero_vs_eight,0.5407200640975938,0.9793641740942913
kr-vs-k-zero_vs_fifteen,0.5383365821962314,0.9852159273612993
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5653042204766342,0.770583714456035
lymphography-normal-fibrosis,0.9882629107981221,0.8061868686868686
new-thyroid1,0.7746031746031747,0.721015134979001
new-thyroid2,0.7744444444444445,0.7211531006130159
page-blocks-1-3_vs_4,0.6624034749034748,0.8877134932189359
page-blocks0,0.7032496021107156,0.7461645643786116
pimaImb,0.5398059701492537,0.6299958656856266
poker-8-9_vs_5,0.8470439024390244,0.9259448399435192
poker-8-9_vs_6,0.779972602739726,0.5459428072970048
poker-8_vs_6,0.6769943593875907,0.8853368526486866
poker-9_vs_7,0.8919491525423728,0.5977161341744675
segment0,0.6306399566266466,0.8955021739262998
shuttle-2_vs_5,0.5808361912258017,0.9832176627774412
shuttle-6_vs_2-3,0.9918181818181818,0.746024531024531
shuttle-c0-vs-c4,0.5529027154280922,0.9331503403157777
shuttle-c2-vs-c4,0.967479674796748,0.5637566137566137
vehicle0,0.578984567349887,0.780209553354377
vehicle1,0.5641461466888411,0.7766788985546795
vehicle2,0.569808040670835,0.6817185903450671
vehicle3,0.5695717516814476,0.7107484017865165
vowel0,0.8588591932689928,0.5591435410176594
winequality-red-3_vs_5,0.6531571218795889,0.9743709900358867
winequality-red-4,0.5686128536210305,0.9583508622764978
winequality-red-8_vs_6-7,0.599362803663879,0.9682636221887341
winequality-red-8_vs_6,0.6086729362591431,0.9574236459243491
winequality-white-3-9_vs_5,0.7883596431022649,0.7773069575260001
winequality-white-3_vs_7,0.9021022727272727,0.5132174065751014
winequality-white-9_vs_4,0.694478527607362,0.9368824671263696
wisconsinImb,0.7057936597685551,0.7468630731198951
yeast-0-2-5-6_vs_3-7-8-9,0.6012835537697416,0.7875670636116188
yeast-0-2-5-7-9_vs_3-6-8,0.5865394274234054,0.8357418761269393
yeast-0-3-5-9_vs_7-8,0.6215350877192982,0.8089558352998363
yeast-0-5-6-7-9_vs_4,0.6016771488469602,0.8509181339950784
yeast-1-2-8-9_vs_7,0.6249363867684479,0.9333353807849791
yeast-1-4-5-8_vs_7,0.5264957264957265,0.9571012141747033
yeast-1_vs_7,0.6192696192696192,0.8773460703011317
yeast-2_vs_4,0.7316308812942023,0.7974867554652307
yeast-2_vs_8,0.7858225108225108,0.6677552486663494
yeast1,0.5199018990488184,0.7080007969256633
yeast3,0.508203954059715,0.8975520760842821
yeast4,0.621457794562347,0.9406786143877528
yeast5,0.5577020202020202,0.9616782028565529
yeast6,0.5163363896283151,0.9752025699311053
zoo-3,0.5083333333333333,0.8833317606088691
