folder_name,IQR_LMDD_auc,IQR_LMDD_avgprecision
abalone-17_vs_7-8-9-10,0.574637024,0.893031211
abalone-19_vs_10-11-12-13,0.52014544,0.98101985
abalone-20_vs_8-9-10,0.546072446,0.939949158
abalone-21_vs_8,0.810405644,0.798959707
abalone-3_vs_11,0.870431211,0.893743336
abalone19,0.534754497,0.990372133
abalone9-18,0.50020734,0.893515257
car-good,0.5,0.960069444
car-vgood,0.5,0.962384259
cleveland-0_vs_4,0.752403846,0.737473084
dermatology-6,0.567899408,0.950384231
ecoli-0-1-3-7_vs_2-6,0.747393118,0.923300201
ecoli-0-1-4-6_vs_5,0.543557692,0.932125815
ecoli-0-1-4-7_vs_2-3-5-6,0.585308323,0.891876269
ecoli-0-1-4-7_vs_5-6,0.553029316,0.888589024
ecoli-0-1_vs_2-3-5,0.645549242,0.780832801
ecoli-0-1_vs_5,0.664204545,0.82033053
ecoli-0-2-3-4_vs_5,0.520192308,0.88448964
ecoli-0-2-6-7_vs_3-5,0.70589559,0.777023877
ecoli-0-3-4-6_vs_5,0.718783784,0.779609045
ecoli-0-3-4-7_vs_5-6,0.718103448,0.699135048
ecoli-0-3-4_vs_5,0.551111111,0.773651623
ecoli-0-4-6_vs_5,0.779918033,0.780564973
ecoli-0-6-7_vs_3-5,0.602727273,0.822130536
ecoli-0-6-7_vs_5,0.652125,0.833775851
ecoli-0_vs_1,0.535419126,0.668447657
ecoli1,0.613699042,0.696922653
ecoli2,0.818526544,0.906135115
ecoli3,0.750118652,0.588211614
ecoli4,0.63125,0.952960153
flare-F,0.5,0.959662289
glass-0-1-2-3_vs_4-5-6,0.705641766,0.639062514
glass-0-1-4-6_vs_2,0.539737171,0.923676287
glass-0-1-5_vs_2,0.511954459,0.904093769
glass-0-1-6_vs_2,0.542184874,0.903662652
glass-0-1-6_vs_5,0.763492063,0.811456963
glass-0-4_vs_5,0.753681392,0.796461992
glass-0-6_vs_5,0.887766554,0.524079189
glass0,0.564186508,0.702336544
glass1,0.627908085,0.586977121
glass2,0.543744401,0.928239485
glass4,0.792192882,0.802119733
glass5,0.759349593,0.790917226
glass6,0.547903075,0.850662497
habermanImb,0.635363512,0.782696913
iris0,0.8564,0.795519029
kr-vs-k-one_vs_fifteen,0.504900916,0.965429864
kr-vs-k-three_vs_eleven,0.503936429,0.972095821
kr-vs-k-zero-one_vs_draw,0.50588085,0.963125425
kr-vs-k-zero_vs_eight,0.517096999,0.981506849
kr-vs-k-zero_vs_fifteen,0.511311173,0.987688098
led7digit-0-2-4-5-6-7-8-9_vs_1,0.854812941,0.715901193
lymphography-normal-fibrosis,0.5,0.959459459
new-thyroid1,0.87047619,0.595529677
new-thyroid2,0.802936508,0.633111623
page-blocks-1-3_vs_4,0.511140605,0.69322392
page-blocks0,0.710551612,0.779643471
pimaImb,0.55419403,0.620639383
poker-8-9_vs_5,0.828195122,0.927854199
poker-8-9_vs_6,0.519479452,0.980959296
poker-8_vs_6,0.564343272,0.985498594
poker-9_vs_7,0.831832627,0.965291033
segment0,0.706554076,0.880872994
shuttle-2_vs_5,0.753028117,0.98803582
shuttle-6_vs_2-3,0.511590909,0.94941865
shuttle-c0-vs-c4,0.95712645,0.765776318
shuttle-c2-vs-c4,0.602303523,0.952794272
vehicle0,0.780766273,0.810472796
vehicle1,0.658817668,0.607722517
vehicle2,0.567894291,0.77412273
vehicle3,0.634817124,0.660831865
vowel0,0.721832467,0.833087358
winequality-red-3_vs_5,0.681718062,0.982662229
winequality-red-4,0.540371989,0.970132931
winequality-red-8_vs_6-7,0.571916899,0.981884177
winequality-red-8_vs_6,0.518025078,0.972205652
winequality-white-3-9_vs_5,0.598558682,0.921868184
winequality-white-3_vs_7,0.525852273,0.957593002
winequality-white-9_vs_4,0.634969325,0.915504974
wisconsinImb,0.640501904,0.514685439
yeast-0-2-5-6_vs_3-7-8-9,0.575439478,0.860958472
yeast-0-2-5-7-9_vs_3-6-8,0.543183213,0.908776261
yeast-0-3-5-9_vs_7-8,0.541666667,0.886618409
yeast-0-5-6-7-9_vs_4,0.533131911,0.900856593
yeast-1-2-8-9_vs_7,0.636041439,0.952894277
yeast-1-4-5-8_vs_7,0.652061337,0.897781136
yeast-1_vs_7,0.578982129,0.920309643
yeast-2_vs_4,0.542349553,0.902733826
yeast-2_vs_8,0.65254329,0.968926445
yeast1,0.559111347,0.750856563
yeast3,0.509915336,0.891723682
yeast4,0.538511008,0.949265725
yeast5,0.638107639,0.90471953
yeast6,0.667524401,0.945637163
zoo-3,0.5625,0.942528736
