folder_name,Largest_KNN_auc,Largest_KNN_avgprecision
abalone-17_vs_7-8-9-10,0.880879461584997,0.8200961581094502
abalone-19_vs_10-11-12-13,0.6974941037735849,0.964175506681779
abalone-20_vs_8-9-10,0.8996743996743997,0.8746849698725372
abalone-21_vs_8,0.9464600655076846,0.543870750926672
abalone-3_vs_11,0.7483915126625599,0.9555934381803248
abalone19,0.7535384476098503,0.983094899764224
abalone9-18,0.8659375215978989,0.6478578555861478
car-good,0.5,0.9600694444444444
car-vgood,0.5,0.9623842592592593
cleveland-0_vs_4,0.7103365384615385,0.8357658152212204
dermatology-6,0.603180473372781,0.9542373856669624
ecoli-0-1-3-7_vs_2-6,0.8073514077163711,0.8719720338152204
ecoli-0-1-4-6_vs_5,0.783076923076923,0.8124337811716735
ecoli-0-1-4-7_vs_2-3-5-6,0.7841738739750646,0.7219266757073256
ecoli-0-1-4-7_vs_5-6,0.7985667752442998,0.7690505645300377
ecoli-0-1_vs_2-3-5,0.778314393939394,0.7292322568687535
ecoli-0-1_vs_5,0.7786363636363636,0.7973771530772237
ecoli-0-2-3-4_vs_5,0.8236263736263736,0.7519052656825742
ecoli-0-2-6-7_vs_3-5,0.811093609360936,0.6380323618790269
ecoli-0-3-4-6_vs_5,0.8086486486486486,0.7650616682479756
ecoli-0-3-4-7_vs_5-6,0.8178448275862069,0.729277964644024
ecoli-0-3-4_vs_5,0.825,0.7489995015058253
ecoli-0-4-6_vs_5,0.8169398907103825,0.7412076222766657
ecoli-0-6-7_vs_3-5,0.8155681818181819,0.6282901437878469
ecoli-0-6-7_vs_5,0.7971250000000001,0.7338215517314115
ecoli-0_vs_1,0.7745890473163201,0.5016592464935432
ecoli1,0.615579401293687,0.6833883755215685
ecoli2,0.5969664138678223,0.8231606098591825
ecoli3,0.5188419553868059,0.8956628637133025
ecoli4,0.7712025316455696,0.869037792427584
flare-F,0.7383550433062811,0.9047775424618477
glass-0-1-2-3_vs_4-5-6,0.8454228317093709,0.5983934567144354
glass-0-1-4-6_vs_2,0.5666458072590739,0.9284314249445974
glass-0-1-5_vs_2,0.5117647058823529,0.9050603595425532
glass-0-1-6_vs_2,0.534453781512605,0.9181174044429886
glass-0-1-6_vs_5,0.8869841269841271,0.7721078359612034
glass-0-4_vs_5,0.889558232931727,0.6449326599326599
glass-0-6_vs_5,0.9382716049382717,0.5594702081544186
glass0,0.7182539682539683,0.7700433641861857
glass1,0.5367086193745232,0.6569666235850884
glass2,0.5888324873096447,0.9339323168724268
glass4,0.9249904324531191,0.5598336464118048
glass5,0.8634146341463416,0.8454918171789756
glass6,0.7032618825722274,0.7748980400870826
habermanImb,0.6676817558299039,0.57303669883475
iris0,0.7949999999999999,0.7757191084865362
kr-vs-k-one_vs_fifteen,0.6847965054336245,0.674686149256015
kr-vs-k-three_vs_eleven,0.5857254708574494,0.9639931786210137
kr-vs-k-zero-one_vs_draw,0.6845749029225423,0.7586727497759124
kr-vs-k-zero_vs_eight,0.5724328655242821,0.9828645409875971
kr-vs-k-zero_vs_fifteen,0.5114394172565918,0.9876689328680326
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5728265211023832,0.90017988437853
lymphography-normal-fibrosis,0.9853286384976526,0.7649572649572649
new-thyroid1,0.8188888888888889,0.6630501206216397
new-thyroid2,0.8188888888888889,0.6630501206216397
page-blocks-1-3_vs_4,0.8356660231660231,0.6928056696509444
page-blocks0,0.5007835806358,0.7955604178479867
pimaImb,0.6076380597014925,0.5411647471253771
poker-8-9_vs_5,0.8435121951219513,0.8175682071496948
poker-8-9_vs_6,0.7601095890410958,0.6508307628245475
poker-8_vs_6,0.6472199838839645,0.9798481528819419
poker-9_vs_7,0.8985699152542374,0.6216480861411202
segment0,0.7578955937034915,0.9097325196908821
shuttle-2_vs_5,0.9255979710525165,0.8794857356619138
shuttle-6_vs_2-3,1.0,1.0
shuttle-c0-vs-c4,0.7729462728390473,0.7992328845057101
shuttle-c2-vs-c4,0.967479674796748,0.5637566137566137
vehicle0,0.6835568879948428,0.8100259828433387
vehicle1,0.5846746719611995,0.7213817791079216
vehicle2,0.5730438847659673,0.6735012080018394
vehicle3,0.6642461758228677,0.6819991746193546
vowel0,0.5199455580301906,0.8093087127045626
winequality-red-3_vs_5,0.5676211453744493,0.9862774031590328
winequality-red-4,0.5656105836119993,0.9690001920707436
winequality-red-8_vs_6-7,0.511914243993097,0.9758349052421087
winequality-red-8_vs_6,0.500914315569488,0.9656931807324862
winequality-white-3-9_vs_5,0.7524227865477008,0.8055286658977041
winequality-white-3_vs_7,0.9023863636363636,0.5695500127648025
winequality-white-9_vs_4,0.5398773006134969,0.9384123305266162
wisconsinImb,0.9753006144219534,0.9299319319059648
yeast-0-2-5-6_vs_3-7-8-9,0.6437133768625481,0.7833351433673865
yeast-0-2-5-7-9_vs_3-6-8,0.6628048440203137,0.8206582378149858
yeast-0-3-5-9_vs_7-8,0.625701754385965,0.8359803644699383
yeast-0-5-6-7-9_vs_4,0.6599046327126239,0.8300625960200316
yeast-1-2-8-9_vs_7,0.5671755725190839,0.9520391192236338
yeast-1-4-5-8_vs_7,0.5369532428355958,0.9589667328317439
yeast-1_vs_7,0.5846153846153846,0.8969423774621088
yeast-2_vs_4,0.7902214881632998,0.7407985254379172
yeast-2_vs_8,0.7742965367965369,0.7688360216336034
yeast1,0.5301284813133155,0.693468404601649
yeast3,0.5598635538237903,0.8826145983110832
yeast4,0.6791524704787707,0.9370898882216607
yeast5,0.6769807449494949,0.9398486409112987
yeast6,0.5930198166223011,0.9722925351540534
zoo-3,0.8677083333333333,0.8273504273504273
