folder_name,Median_KNN_auc,Median_KNN_avgprecision
abalone-17_vs_7-8-9-10,0.8588286448880822,0.8426621501199829
abalone-19_vs_10-11-12-13,0.6672661163522013,0.9649844622062002
abalone-20_vs_8-9-10,0.880006105006105,0.8775959614778918
abalone-21_vs_8,0.9460191484001009,0.5032930093420882
abalone-3_vs_11,0.8891170431211499,0.9821456836949768
abalone19,0.7437945135200386,0.9840180435880708
abalone9-18,0.8702398230700117,0.6582343991475865
car-good,0.5,0.9600694444444444
car-vgood,0.5,0.9623842592592593
cleveland-0_vs_4,0.692548076923077,0.8660303759387323
dermatology-6,0.5625739644970414,0.9499841394521845
ecoli-0-1-3-7_vs_2-6,0.7434827945776851,0.9272305566521911
ecoli-0-1-4-6_vs_5,0.7988461538461539,0.801026975101339
ecoli-0-1-4-7_vs_2-3-5-6,0.7779400202179041,0.7421198815278242
ecoli-0-1-4-7_vs_5-6,0.7827361563517915,0.8088266546610433
ecoli-0-1_vs_2-3-5,0.7923295454545454,0.7092081414937769
ecoli-0-1_vs_5,0.7852272727272728,0.7852173235105515
ecoli-0-2-3-4_vs_5,0.8223901098901099,0.7486729857464629
ecoli-0-2-6-7_vs_3-5,0.8172817281728173,0.6509093166670287
ecoli-0-3-4-6_vs_5,0.8136486486486486,0.7564775011272671
ecoli-0-3-4-7_vs_5-6,0.8001724137931034,0.7588775203781939
ecoli-0-3-4_vs_5,0.8243055555555556,0.7452277652111448
ecoli-0-4-6_vs_5,0.8224043715846995,0.7074620796630828
ecoli-0-6-7_vs_3-5,0.8225,0.641356749279612
ecoli-0-6-7_vs_5,0.8049999999999999,0.7352764798687924
ecoli-0_vs_1,0.7746344564526383,0.5027984575566495
ecoli1,0.6442360728075014,0.6731317033983419
ecoli2,0.5548483206933911,0.8314719759878162
ecoli3,0.5033222591362126,0.888005272521431
ecoli4,0.7761867088607595,0.855464574559928
flare-F,0.7062788424378821,0.915730258934128
glass-0-1-2-3_vs_4-5-6,0.8226272103933597,0.5838999837367135
glass-0-1-4-6_vs_2,0.565863579474343,0.9279644692118152
glass-0-1-5_vs_2,0.5163187855787477,0.905414691010149
glass-0-1-6_vs_2,0.5336134453781514,0.9177142425567744
glass-0-1-6_vs_5,0.8501587301587301,0.8021901977165136
glass-0-4_vs_5,0.8353413654618475,0.6725489569167764
glass-0-6_vs_5,0.8653198653198653,0.6663404156507605
glass0,0.7301587301587302,0.7734113444849018
glass1,0.507818459191457,0.6448393571115442
glass2,0.5892803822036429,0.9332042094164165
glass4,0.9115958668197474,0.5912817179023419
glass5,0.8317073170731708,0.8507327159535425
glass6,0.6853681267474371,0.7753034228762994
habermanImb,0.6764334705075445,0.5680973326593473
iris0,0.7505999999999999,0.762206919202578
kr-vs-k-one_vs_fifteen,0.6589423964770225,0.8537559432355812
kr-vs-k-three_vs_eleven,0.6608074437436736,0.9545580477280817
kr-vs-k-zero-one_vs_draw,0.6130322229034675,0.9140569251853798
kr-vs-k-zero_vs_eight,0.5542891111628027,0.9785320166283794
kr-vs-k-zero_vs_fifteen,0.56956841421292,0.9849716303775791
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5256623618692584,0.9109446719325885
lymphography-normal-fibrosis,0.9859154929577465,0.7467592592592592
new-thyroid1,0.7898412698412699,0.6870172890775764
new-thyroid2,0.7898412698412699,0.6870172890775764
page-blocks-1-3_vs_4,0.8407335907335908,0.6622715316267658
page-blocks0,0.514400478887199,0.7988453405655173
pimaImb,0.6057126865671641,0.5476352990595426
poker-8-9_vs_5,0.8089853658536585,0.8757551907259583
poker-8-9_vs_6,0.8161780821917808,0.6359184098351256
poker-8_vs_6,0.7296736502820306,0.9719173307436746
poker-9_vs_7,0.926906779661017,0.696256038647343
segment0,0.719036970254542,0.9064977357914865
shuttle-2_vs_5,0.8300912651562002,0.914717307894007
shuttle-6_vs_2-3,0.9963636363636363,0.9247474747474748
shuttle-c0-vs-c4,0.7202699225116518,0.825385144197384
shuttle-c2-vs-c4,0.9674796747967479,0.5544973544973545
vehicle0,0.6649786801084246,0.8063385579398152
vehicle1,0.5794106657484266,0.7249466646058795
vehicle2,0.5699029977210308,0.6900976682110225
vehicle3,0.6485960657103743,0.6837151717373453
vowel0,0.54696857213561,0.8866032187675268
winequality-red-3_vs_5,0.510352422907489,0.9838367266359123
winequality-red-4,0.5037162244623984,0.9619901838440655
winequality-red-8_vs_6-7,0.52266693216514,0.9718743541247797
winequality-red-8_vs_6,0.5577324973876698,0.9574120566570554
winequality-white-3-9_vs_5,0.7732875772134523,0.8079202776418039
winequality-white-3_vs_7,0.8853693181818181,0.5674392963941696
winequality-white-9_vs_4,0.5828220858895705,0.9338760721679976
