folder_name,VAE_auc,VAE_avgprecision
abalone-17_vs_7-8-9-10,0.596597096,0.913700267
abalone-19_vs_10-11-12-13,0.560829403,0.981990297
abalone-20_vs_8-9-10,0.613390313,0.959452071
abalone-21_vs_8,0.832451499,0.634099768
abalone-3_vs_11,1,1
abalone19,0.537187651,0.991528032
abalone9-18,0.673128758,0.863681911
car-good,0.580465795,0.951538245
car-vgood,0.621037051,0.971733002
cleveland-0_vs_4,0.892788462,0.50569675
dermatology-6,0.903402367,0.580082904
ecoli-0-1-3-7_vs_2-6,0.859228363,0.650950944
ecoli-0-1-4-6_vs_5,0.785961538,0.780908753
ecoli-0-1-4-7_vs_2-3-5-6,0.778950915,0.588999659
ecoli-0-1-4-7_vs_5-6,0.789055375,0.647871926
ecoli-0-1_vs_2-3-5,0.83125,0.557756638
ecoli-0-1_vs_5,0.788636364,0.738850354
ecoli-0-2-3-4_vs_5,0.792857143,0.736631498
ecoli-0-2-6-7_vs_3-5,0.814806481,0.59880984
ecoli-0-3-4-6_vs_5,0.648108108,0.839610371
ecoli-0-3-4-7_vs_5-6,0.784310345,0.674443227
ecoli-0-3-4_vs_5,0.783333333,0.741970681
ecoli-0-4-6_vs_5,0.778142077,0.728096201
ecoli-0-6-7_vs_3-5,0.776818182,0.622232714
ecoli-0-6-7_vs_5,0.75875,0.720546332
ecoli-0_vs_1,0.507492507,0.648970597
ecoli1,0.614200471,0.727543369
ecoli2,0.51618364,0.849738191
ecoli3,0.646511628,0.851995558
ecoli4,0.81835443,0.788745027
flare-F,0.833856191,0.80592104
glass-0-1-2-3_vs_4-5-6,0.873691808,0.612395723
glass-0-1-4-6_vs_2,0.622027534,0.933205486
glass-0-1-5_vs_2,0.504364326,0.897739543
glass-0-1-6_vs_2,0.615462185,0.92696751
glass-0-1-6_vs_5,0.684444444,0.902024774
glass-0-4_vs_5,0.702811245,0.790138458
glass-0-6_vs_5,0.616161616,0.763281857
glass0,0.674702381,0.759098026
glass1,0.59057971,0.66861577
glass2,0.638100926,0.937940078
glass4,0.798316112,0.701136529
glass5,0.608672087,0.929619902
glass6,0.890400746,0.596759751
habermanImb,0.548971193,0.654771353
iris0,0.9108,0.713168049
kr-vs-k-one_vs_fifteen,0.999911215,0.997577452
kr-vs-k-three_vs_eleven,0.673215846,0.961671997
kr-vs-k-zero-one_vs_draw,0.709397779,0.939015875
kr-vs-k-zero_vs_eight,0.665762064,0.972150079
kr-vs-k-zero_vs_fifteen,1,1
led7digit-0-2-4-5-6-7-8-9_vs_1,0.851750766,0.714339197
lymphography-normal-fibrosis,0.996478873,0.930555556
new-thyroid1,0.833174603,0.591339724
new-thyroid2,0.834603175,0.569572064
page-blocks-1-3_vs_4,0.586953024,0.717691153
page-blocks0,0.904327244,0.508125559
pimaImb,0.656059701,0.51658881
poker-8-9_vs_5,0.56302439,0.963614347
poker-8-9_vs_6,0.557945205,0.946095064
poker-8_vs_6,0.54560838,0.986962048
poker-9_vs_7,0.77595339,0.844612954
segment0,0.742389313,0.908181339
shuttle-2_vs_5,0.952930667,0.637331244
shuttle-6_vs_2-3,0.925,0.61665397
shuttle-c0-vs-c4,0.998517904,0.937086902
shuttle-c2-vs-c4,0.972899729,0.520502646
vehicle0,0.591815336,0.772716603
vehicle1,0.570879093,0.714641345
vehicle2,0.570041781,0.734412576
vehicle3,0.566841259,0.730284416
vowel0,0.940150953,0.567269357
winequality-red-3_vs_5,0.807929515,0.957083046
winequality-red-4,0.591203105,0.937945819
winequality-red-8_vs_6-7,0.606398513,0.963883711
winequality-red-8_vs_6,0.669975618,0.944010964
winequality-white-3-9_vs_5,0.793850377,0.831605001
winequality-white-3_vs_7,0.840625,0.579284806
winequality-white-9_vs_4,0.625766871,0.954942538
wisconsinImb,0.953645068,0.953586225
yeast-0-2-5-6_vs_3-7-8-9,0.752475027,0.673062822
yeast-0-2-5-7-9_vs_3-6-8,0.816072325,0.70408103
yeast-0-3-5-9_vs_7-8,0.603026316,0.821521299
yeast-0-5-6-7-9_vs_4,0.637398775,0.860880102
yeast-1-2-8-9_vs_7,0.638531443,0.945150255
yeast-1-4-5-8_vs_7,0.532579186,0.953504111
yeast-1_vs_7,0.658352758,0.87026255
yeast-2_vs_4,0.851691865,0.695331141
yeast-2_vs_8,0.751406926,0.734923381
yeast1,0.540297617,0.73372477
yeast3,0.621991148,0.868633394
yeast4,0.734206313,0.930258577
yeast5,0.886679293,0.883439271
yeast6,0.768944099,0.944654034
zoo-3,0.554166667,0.935453224
