folder_name,OCSVM_auc,OCVM_avgprecision
abalone-17_vs_7-8-9-10,0.584006352,0.97846129
abalone-19_vs_10-11-12-13,0.566253931,0.975239928
abalone-20_vs_8-9-10,0.567521368,0.987874826
abalone-21_vs_8,0.83686067,0.985656145
abalone-3_vs_11,0.988227242,0.983738694
abalone19,0.536259657,0.990804951
abalone9-18,0.629863847,0.951893997
car-good,0.557468704,0.955408922
car-vgood,0.573403025,0.949166609
cleveland-0_vs_4,0.552884615,0.893472574
dermatology-6,0.601331361,0.950336083
ecoli-0-1-3-7_vs_2-6,0.528675704,0.969793364
ecoli-0-1-4-6_vs_5,0.653942308,0.941610994
ecoli-0-1-4-7_vs_2-3-5-6,0.503257329,0.90566705
ecoli-0-1-4-7_vs_5-6,0.556612378,0.919175163
ecoli-0-1_vs_2-3-5,0.546969697,0.876277388
ecoli-0-1_vs_5,0.600568182,0.85270437
ecoli-0-2-3-4_vs_5,0.534615385,0.910240447
ecoli-0-2-6-7_vs_3-5,0.513951395,0.874275417
ecoli-0-3-4-6_vs_5,0.588513514,0.83344793
ecoli-0-3-4-7_vs_5-6,0.538448276,0.87797632
ecoli-0-3-4_vs_5,0.569583333,0.910897954
ecoli-0-4-6_vs_5,0.51079235,0.874133746
ecoli-0-6-7_vs_3-5,0.502159091,0.892404021
ecoli-0-6-7_vs_5,0.556,0.868828713
ecoli-0_vs_1,0.770956316,0.851247823
ecoli1,0.616958331,0.814562142
ecoli2,0.598591549,0.804723148
ecoli3,0.648789748,0.923743481
ecoli4,0.677848101,0.95731733
flare-F,0.787208166,0.975698816
glass-0-1-2-3_vs_4-5-6,0.859497173,0.850265046
glass-0-1-4-6_vs_2,0.75844806,0.765922214
glass-0-1-5_vs_2,0.706641366,0.710182936
glass-0-1-6_vs_2,0.742184874,0.725013787
glass-0-1-6_vs_5,0.663492063,0.960812498
glass-0-4_vs_5,0.759036145,0.932157932
glass-0-6_vs_5,0.563411897,0.846580124
glass0,0.678968254,0.528547035
glass1,0.52955759,0.651325841
glass2,0.765004479,0.77113561
glass4,0.903559127,0.964578369
glass5,0.585365854,0.956475011
glass6,0.831127679,0.906497241
habermanImb,0.560466392,0.7323595
iris0,0.623,0.73693046
kr-vs-k-one_vs_fifteen,0.915820252,0.981659136
kr-vs-k-three_vs_eleven,0.87709258,0.984941798
kr-vs-k-zero-one_vs_draw,0.834808229,0.979120953
kr-vs-k-zero_vs_eight,0.590240624,0.984237764
kr-vs-k-zero_vs_fifteen,0.977993229,0.993551732
led7digit-0-2-4-5-6-7-8-9_vs_1,0.73415657,0.929928943
lymphography-normal-fibrosis,0.911971831,0.974708954
new-thyroid1,0.656507937,0.88001928
new-thyroid2,0.729206349,0.891129654
page-blocks-1-3_vs_4,0.536438224,0.929200307
page-blocks0,0.518734022,0.879406434
pimaImb,0.553671642,0.594740765
poker-8-9_vs_5,0.795609756,0.992807228
poker-8-9_vs_6,0.665589041,0.972307643
poker-8_vs_6,0.507775987,0.966246531
poker-9_vs_7,0.887182203,0.980142821
segment0,0.514064854,0.855499133
shuttle-2_vs_5,0.886390185,0.991896103
shuttle-6_vs_2-3,0.5175,0.954521937
shuttle-c0-vs-c4,0.534359839,0.941920532
shuttle-c2-vs-c4,0.54200542,0.93958574
vehicle0,0.516989895,0.775520654
vehicle1,0.543112101,0.716788444
vehicle2,0.522618039,0.753406654
vehicle3,0.500937444,0.756188861
vowel0,0.970081663,0.951841461
winequality-red-3_vs_5,0.517033774,0.978559911
winequality-red-4,0.534196588,0.94557082
winequality-red-8_vs_6,0.54528039,0.933719132
winequality-red-8_vs_6-7,0.528872959,0.96173819
winequality-white-3-9_vs_5,0.741153054,0.988884861
winequality-white-3_vs_7,0.898068182,0.987491055
winequality-white-9_vs_4,0.519018405,0.94964782
wisconsinImb,0.978693128,0.797154086
yeast-0-2-5-6_vs_3-7-8-9,0.774072214,0.937097896
yeast-0-2-5-7-9_vs_3-6-8,0.834354596,0.942766399
yeast-0-3-5-9_vs_7-8,0.613114035,0.916665009
yeast-0-5-6-7-9_vs_4,0.674476919,0.932406183
yeast-1-2-8-9_vs_7,0.635732461,0.975951372
yeast-1-4-5-8_vs_7,0.544544997,0.957958351
yeast-1_vs_7,0.657498057,0.952426582
yeast-2_vs_4,0.859950028,0.943532801
yeast-2_vs_8,0.748917749,0.963254816
yeast1,0.531992178,0.686081559
yeast3,0.522902802,0.903872251
yeast4,0.754019403,0.978778499
yeast5,0.90374053,0.983620742
yeast6,0.786650892,0.985719385
zoo-3,0.508333333,0.833498477
