folder_name,AAD_LMDD_std_auc,AAD_LMDD_std_avgprecision
abalone-17_vs_7-8-9-10,0.510533878,0.920723402
abalone-19_vs_10-11-12-13,0.519732704,0.979767276
abalone-20_vs_8-9-10,0.563125763,0.981339023
abalone-21_vs_8,0.755228017,0.756286195
abalone-3_vs_11,0.999041752,0.968998779
abalone19,0.590686866,0.991759091
abalone9-18,0.535144101,0.948760185
car-good,0.500026208,0.960067432
car-vgood,0.507040104,0.962655271
cleveland-0_vs_4,0.967788462,0.635954494
dermatology-6,0.575221893,0.933535321
ecoli-0-1-3-7_vs_2-6,0.832377477,0.688398408
ecoli-0-1-4-6_vs_5,0.737884615,0.840377556
ecoli-0-1-4-7_vs_2-3-5-6,0.701673593,0.653755212
ecoli-0-1-4-7_vs_5-6,0.809511401,0.671213967
ecoli-0-1_vs_2-3-5,0.85719697,0.602984366
ecoli-0-1_vs_5,0.774659091,0.599959374
ecoli-0-2-3-4_vs_5,0.808516484,0.716439953
ecoli-0-2-6-7_vs_3-5,0.831458146,0.630677583
ecoli-0-3-4-6_vs_5,0.720405405,0.757157761
ecoli-0-3-4-7_vs_5-6,0.769310345,0.689061797
ecoli-0-3-4_vs_5,0.751111111,0.797975395
ecoli-0-4-6_vs_5,0.766256831,0.746226967
ecoli-0-6-7_vs_3-5,0.723636364,0.702684812
ecoli-0-6-7_vs_5,0.54325,0.747098184
ecoli-0_vs_1,0.609572246,0.544907252
ecoli1,0.699844557,0.69018139
ecoli2,0.690851842,0.887947208
ecoli3,0.766682487,0.757860693
ecoli4,0.787025316,0.828703432
flare-F,0.755723022,0.84515972
glass-0-1-2-3_vs_4-5-6,0.694394322,0.571843292
glass-0-1-4-6_vs_2,0.568836045,0.920270547
glass-0-1-5_vs_2,0.543643264,0.905647841
glass-0-1-6_vs_2,0.563193277,0.920653981
glass-0-1-6_vs_5,0.57968254,0.832720267
glass-0-4_vs_5,0.582329317,0.821146245
glass-0-6_vs_5,0.640852974,0.82868099
glass0,0.666617063,0.692381767
glass1,0.567505721,0.63293439
glass2,0.541952822,0.921528764
glass4,0.728855721,0.830337792
glass5,0.583197832,0.940918233
glass6,0.875675676,0.59985744
habermanImb,0.584471879,0.63872703
iris0,0.9384,0.878077374
kr-vs-k-one_vs_fifteen,0.920691574,0.557461938
kr-vs-k-three_vs_eleven,0.50530769,0.972106141
kr-vs-k-zero-one_vs_draw,0.55934328,0.964636294
kr-vs-k-zero_vs_eight,0.600488486,0.981506849
kr-vs-k-zero_vs_fifteen,0.866146849,0.528370334
led7digit-0-2-4-5-6-7-8-9_vs_1,0.887065637,0.500227532
lymphography-normal-fibrosis,0.802816901,0.624624625
new-thyroid1,0.729365079,0.668008644
new-thyroid2,0.652777778,0.722994141
page-blocks-1-3_vs_4,0.689189189,0.702481738
page-blocks0,0.84426699,0.580402234
pimaImb,0.607966418,0.532286376
poker-8-9_vs_5,0.564819512,0.786909233
poker-8-9_vs_6,0.569273973,0.932343348
poker-8_vs_6,0.580177276,0.931626939
poker-9_vs_7,0.733580508,0.639446721
segment0,0.745420379,0.863126002
shuttle-2_vs_5,0.890631735,0.716451581
shuttle-6_vs_2-3,0.831363636,0.782301444
shuttle-c0-vs-c4,0.99827486,0.935801211
shuttle-c2-vs-c4,0.951219512,0.64455267
vehicle0,0.657926417,0.81279936
vehicle1,0.617145202,0.681120235
vehicle2,0.571699877,0.759388365
vehicle3,0.612240343,0.684300321
vowel0,0.796479832,0.537823696
winequality-red-3_vs_5,0.733480176,0.966439092
winequality-red-4,0.581403012,0.940565646
winequality-red-8_vs_6-7,0.603876278,0.967399902
winequality-red-8_vs_6,0.658220132,0.940185918
winequality-white-3-9_vs_5,0.745284832,0.875332593
winequality-white-3_vs_7,0.754090909,0.578294822
winequality-white-9_vs_4,0.690797546,0.943928286
wisconsinImb,0.552117494,0.592007769
yeast-0-2-5-6_vs_3-7-8-9,0.71210447,0.684668426
yeast-0-2-5-7-9_vs_3-6-8,0.837987611,0.668740388
yeast-0-3-5-9_vs_7-8,0.575219298,0.844182059
yeast-0-5-6-7-9_vs_4,0.651416122,0.841998422
yeast-1-2-8-9_vs_7,0.661795711,0.944800332
yeast-1-4-5-8_vs_7,0.520512821,0.953486663
yeast-1_vs_7,0.652680653,0.857413276
yeast-2_vs_4,0.803667471,0.687666734
yeast-2_vs_8,0.756277056,0.777032346
yeast1,0.558868304,0.737718097
yeast3,0.540597149,0.901806385
yeast4,0.664258446,0.928338554
yeast5,0.897806187,0.86861462
yeast6,0.758138618,0.942167853
zoo-3,0.582291667,0.936963696
