folder_name,LSCP_std_auc,LSCP_std_avgprecision
abalone-17_vs_7-8-9-10,0.817952208106473,0.9258236226115589
abalone-19_vs_10-11-12-13,0.6051100628930817,0.9712063867489212
abalone-20_vs_8-9-10,0.8545380545380545,0.9343326155216656
abalone-21_vs_8,0.8785588309397834,0.8256659542394243
abalone-3_vs_11,0.8287474332648872,0.9192123262755204
abalone19,0.627467105263158,0.9891202002048276
abalone9-18,0.7967032967032968,0.7906247042691823
car-good,0.5,0.9600694444444444
car-vgood,0.5,0.9623842592592593
cleveland-0_vs_4,0.7711538461538462,0.7192392162213344
dermatology-6,0.6226331360946745,0.9244526403142566
ecoli-0-1-3-7_vs_2-6,0.8143899895724713,0.5185642777689496
ecoli-0-1-4-6_vs_5,0.6642307692307692,0.8874038541161677
ecoli-0-1-4-7_vs_2-3-5-6,0.6965067954622037,0.676090138423058
ecoli-0-1-4-7_vs_5-6,0.7095765472312704,0.7377185797100807
ecoli-0-1_vs_2-3-5,0.6839015151515152,0.7410811786448154
ecoli-0-1_vs_5,0.6777272727272727,0.8329135606243168
ecoli-0-2-3-4_vs_5,0.7151098901098901,0.8191271424028381
ecoli-0-2-6-7_vs_3-5,0.6833933393339334,0.7563584623347597
ecoli-0-3-4-6_vs_5,0.7324324324324324,0.8274165242507889
ecoli-0-3-4-7_vs_5-6,0.7150000000000001,0.7260491620761198
ecoli-0-3-4_vs_5,0.7438888888888889,0.8059994805252113
ecoli-0-4-6_vs_5,0.7322404371584699,0.8161244449108856
ecoli-0-6-7_vs_3-5,0.6931818181818181,0.7350728054217837
ecoli-0-6-7_vs_5,0.659,0.8243513638242961
ecoli-0_vs_1,0.5652529288892925,0.5930973907487227
ecoli1,0.5697237125808555,0.7085574145393214
ecoli2,0.5983884073672806,0.8760820778573911
ecoli3,0.5355481727574751,0.8976283294276711
ecoli4,0.7365506329113924,0.8935818221972702
flare-F,0.5173111459683102,0.9561356169377594
glass-0-1-2-3_vs_4-5-6,0.6441717791411044,0.5042200632980566
glass-0-1-4-6_vs_2,0.5516270337922402,0.9184744719202543
glass-0-1-5_vs_2,0.6136622390891842,0.9145968748068622
glass-0-1-6_vs_2,0.5458823529411765,0.9079039498032279
