folder_name,MCD_std_auc,MCD_std_avgprecision
abalone-17_vs_7-8-9-10,0.8924833635813672,0.8202157638092203
abalone-19_vs_10-11-12-13,0.6974842767295598,0.9636654231012585
abalone-20_vs_8-9-10,0.9251526251526252,0.8819797048333712
abalone-21_vs_8,0.9654824892920132,0.5797033165452393
abalone-3_vs_11,0.9822039698836413,0.5600037583023598
abalone19,0.7935327136648962,0.9788197168930546
abalone9-18,0.86377773170226,0.646393535017588
car-good,0.6286483039372417,0.9172238719795235
car-vgood,0.5215551135575188,0.9657171621782202
cleveland-0_vs_4,0.9432692307692309,0.6907455069297175
dermatology-6,0.6448224852071006,0.9265542025029313
ecoli-0-1-3-7_vs_2-6,0.8206465067778936,0.8888471360209703
ecoli-0-1-4-6_vs_5,0.8332692307692308,0.8210268930906368
ecoli-0-1-4-7_vs_2-3-5-6,0.8197798494889363,0.7778754295197571
ecoli-0-1-4-7_vs_5-6,0.836612377850163,0.8023309987569542
ecoli-0-1_vs_2-3-5,0.8537878787878788,0.7250371408932734
ecoli-0-1_vs_5,0.8561363636363637,0.7682337798863992
ecoli-0-2-3-4_vs_5,0.8804945054945055,0.6900979135114816
ecoli-0-2-6-7_vs_3-5,0.8301080108010801,0.718818433434754
ecoli-0-3-4-6_vs_5,0.8643243243243244,0.7241351456307925
ecoli-0-3-4-7_vs_5-6,0.8524137931034482,0.69835837772299
ecoli-0-3-4_vs_5,0.8800000000000001,0.686192479945727
ecoli-0-4-6_vs_5,0.8655737704918033,0.7179524479493571
ecoli-0-6-7_vs_3-5,0.8265909090909092,0.7204405771547594
ecoli-0-6-7_vs_5,0.8115000000000001,0.7655607701962748
ecoli-0_vs_1,0.7580601216964853,0.5111049320897756
ecoli1,0.5134633706062277,0.7294231683654278
ecoli2,0.8071505958829902,0.6549455667608328
ecoli3,0.5253915519696251,0.9072605316278654
ecoli4,0.9069620253164556,0.7459664711007702
flare-F,0.7827979722203278,0.8900406888765359
glass-0-1-2-3_vs_4-5-6,0.9624684229520029,0.8381185673562204
glass-0-1-4-6_vs_2,0.5528785982478097,0.9270686367261178
glass-0-1-5_vs_2,0.5415559772296015,0.8930742958336952
glass-0-1-6_vs_2,0.5331092436974789,0.9187205860708759
glass-0-1-6_vs_5,0.7904761904761904,0.8879018108328454
glass-0-4_vs_5,0.8862115127175367,0.6491485355901832
glass-0-6_vs_5,0.6936026936026936,0.8660815435402375
glass0,0.747718253968254,0.7768753739879399
glass1,0.6055491990846682,0.7005631938720893
glass2,0.5742012541057032,0.9326760938344789
glass4,0.8392652123995408,0.7619878736910167
glass5,0.7669376693766938,0.9120016845553727
glass6,0.9595526561043803,0.66664953075201
habermanImb,0.7120438957475994,0.5287358348834731
iris0,0.5736,0.7180705483004186
kr-vs-k-one_vs_fifteen,0.7214882685796813,0.8394367387830209
kr-vs-k-three_vs_eleven,0.7090849316964711,0.9562190059853031
kr-vs-k-zero-one_vs_draw,0.7903842223584714,0.6668000450578084
kr-vs-k-zero_vs_eight,0.9018893282675557,0.892506400194527
kr-vs-k-zero_vs_fifteen,0.8475428336924182,0.9608123510624154
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5147450406071096,0.8895051438059083
lymphography-normal-fibrosis,0.983568075117371,0.7592592592592593
new-thyroid1,0.8471428571428572,0.6400499006117334
new-thyroid2,0.8471428571428572,0.6400499006117334
page-blocks-1-3_vs_4,0.9276061776061777,0.621399884354469
page-blocks0,0.9170604292871273,0.6000318727213945
pimaImb,0.6820298507462685,0.5101219420459302
poker-8-9_vs_5,0.6625365853658537,0.6900083694760353
poker-8-9_vs_6,0.6055068493150685,0.9629101345974204
poker-8_vs_6,0.5511281224818694,0.9869527446823619
poker-9_vs_7,0.9867584745762712,0.7354895104895105
segment0,0.6589724017072882,0.8983379314303426
shuttle-2_vs_5,0.988730845873703,0.6340442916501299
shuttle-6_vs_2-3,0.9745454545454545,0.5112842712842712
shuttle-c0-vs-c4,0.9922463996035037,0.8463873353835304
shuttle-c2-vs-c4,0.9715447154471545,0.5324074074074074
vehicle0,0.6212282432254006,0.6601076505408255
vehicle1,0.608119097682665,0.7011355414381335
vehicle2,0.6470811663647519,0.7187843431784374
vehicle3,0.6029700613058746,0.7029990592636026
vowel0,0.7218139074486513,0.8072065605185442
winequality-red-3_vs_5,0.7844346549192363,0.9517415701994703
winequality-red-4,0.5912031047865458,0.9351452184520614
winequality-red-8_vs_6-7,0.532324439134475,0.9727345153428038
winequality-red-8_vs_6,0.5605189829327761,0.9621156592287915
winequality-white-3-9_vs_5,0.7918737131091284,0.9229705202887831
winequality-white-3_vs_7,0.8886931818181818,0.555189943409867
winequality-white-9_vs_4,0.6282208588957056,0.953927284542224
wisconsinImb,0.9884654529005994,0.9763139810226632
yeast-0-2-5-6_vs_3-7-8-9,0.6847145488029466,0.7408080898535083
yeast-0-2-5-7-9_vs_3-6-8,0.7220268988224787,0.7390017772185287
yeast-0-3-5-9_vs_7-8,0.6102850877192981,0.7005428730010271
yeast-0-5-6-7-9_vs_4,0.5727381099190201,0.8848817964350633
yeast-1-2-8-9_vs_7,0.5624136677571793,0.961555990705113
yeast-1-4-5-8_vs_7,0.5250879839115133,0.9603979908068403
yeast-1_vs_7,0.5969696969696969,0.9119184084178508
yeast-2_vs_4,0.7519163172828527,0.8133460419154157
yeast-2_vs_8,0.7556277056277056,0.5902725161909694
yeast1,0.5161700858383322,0.6570411721484317
yeast3,0.5685783683117921,0.880619992949978
yeast4,0.6280256694443304,0.9544162046498862
yeast5,0.7575441919191919,0.9391597837861767
yeast6,0.6827762989253673,0.9615277550345935
zoo-3,0.8041666666666667,0.6870026525198938
