folder_name,Median_KNN_std_auc,Median_KNN_std_avgprecision
abalone-17_vs_7-8-9-10,0.8585790986085905,0.8423625379488506
abalone-19_vs_10-11-12-13,0.6219044811320755,0.9710115077641115
abalone-20_vs_8-9-10,0.8320919820919821,0.8993458149992739
abalone-21_vs_8,0.9455152431342908,0.5137539165533191
abalone-3_vs_11,0.7340177960301164,0.9763582562995581
abalone19,0.7073877353935297,0.9866660052721061
abalone9-18,0.8501969728384823,0.6983130204256977
car-good,0.5,0.9600694444444444
car-vgood,0.5,0.9623842592592593
cleveland-0_vs_4,0.8728365384615384,0.6074449055218286
dermatology-6,0.7346153846153846,0.8659879115866551
ecoli-0-1-3-7_vs_2-6,0.7460896767466111,0.9207778215156389
ecoli-0-1-4-6_vs_5,0.8207692307692307,0.7993384831594669
ecoli-0-1-4-7_vs_2-3-5-6,0.7863641469167697,0.7023783741737648
ecoli-0-1-4-7_vs_5-6,0.7919218241042345,0.7870562788172639
ecoli-0-1_vs_2-3-5,0.8125,0.6749979599521742
ecoli-0-1_vs_5,0.8080681818181819,0.7779408234228268
ecoli-0-2-3-4_vs_5,0.8366758241758242,0.7363828153029974
ecoli-0-2-6-7_vs_3-5,0.8310081008100809,0.6293847352626549
ecoli-0-3-4-6_vs_5,0.8260810810810811,0.7511170406281663
ecoli-0-3-4-7_vs_5-6,0.8158620689655172,0.7447139637937314
ecoli-0-3-4_vs_5,0.8379166666666666,0.7329006221068597
ecoli-0-4-6_vs_5,0.8371584699453553,0.6989726376380512
ecoli-0-6-7_vs_3-5,0.836590909090909,0.6186646762127509
ecoli-0-6-7_vs_5,0.8205,0.72356721233607
ecoli-0_vs_1,0.7670965398238125,0.5051496235660161
ecoli1,0.6357368500225643,0.6827848012402229
ecoli2,0.5501760563380281,0.8320352378127223
ecoli3,0.5031798766018035,0.8894535948413663
ecoli4,0.7670886075949367,0.860447252018176
flare-F,0.7026188365273136,0.9063260021025271
glass-0-1-2-3_vs_4-5-6,0.810838445807771,0.5794300068013573
glass-0-1-4-6_vs_2,0.5830725907384231,0.9282240345393818
glass-0-1-5_vs_2,0.5252371916508539,0.9030473111123467
glass-0-1-6_vs_2,0.5473949579831933,0.9161412872104264
glass-0-1-6_vs_5,0.7438095238095239,0.8580361889572417
glass-0-4_vs_5,0.7202141900937081,0.7688962676667594
glass-0-6_vs_5,0.7396184062850729,0.7650557666912112
glass0,0.7279265873015873,0.7725050066658268
glass1,0.5025266971777269,0.6450492545979485
glass2,0.5879366975216482,0.9317786631314435
glass4,0.8991580558744738,0.6118779824675669
glass5,0.7327913279132791,0.8911479486532148
glass6,0.7071761416589002,0.7357938999178195
habermanImb,0.6943758573388203,0.570048976740021
iris0,0.7208,0.7261686324155737
kr-vs-k-one_vs_fifteen,0.508837038615432,0.9445101624098677
kr-vs-k-three_vs_eleven,0.7620580169050153,0.9165042200712843
kr-vs-k-zero-one_vs_draw,0.6703215477893589,0.8124894080214045
kr-vs-k-zero_vs_eight,0.5081543511410922,0.9662162444859381
kr-vs-k-zero_vs_fifteen,0.524186929311583,0.9726971217439382
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5301224870190387,0.8945755879164456
