folder_name,VAE_std_auc,VAE_std_avgprecision
abalone-17_vs_7-8-9-10,0.596597096,0.913700267
abalone-19_vs_10-11-12-13,0.560888365,0.981994088
abalone-20_vs_8-9-10,0.613390313,0.959452071
abalone-21_vs_8,0.832577475,0.634822824
abalone-3_vs_11,1,1
abalone19,0.537187651,0.991528032
abalone9-18,0.676342525,0.861711846
car-good,0.59134628,0.951034986
car-vgood,0.597992507,0.954106764
cleveland-0_vs_4,0.742307692,0.654498196
dermatology-6,0.904585799,0.577258802
ecoli-0-1-3-7_vs_2-6,0.869134515,0.649879816
ecoli-0-1-4-6_vs_5,0.781923077,0.786246587
ecoli-0-1-4-7_vs_2-3-5-6,0.77659216,0.593165866
ecoli-0-1-4-7_vs_5-6,0.784104235,0.655622216
ecoli-0-1_vs_2-3-5,0.71875,0.710426829
ecoli-0-1_vs_5,0.833181818,0.638971429
ecoli-0-2-3-4_vs_5,0.766483516,0.756791335
ecoli-0-2-6-7_vs_3-5,0.817056706,0.597564681
ecoli-0-3-4-6_vs_5,0.766216216,0.780820457
ecoli-0-3-4-7_vs_5-6,0.763275862,0.672882837
ecoli-0-3-4_vs_5,0.799722222,0.721904273
ecoli-0-4-6_vs_5,0.771311475,0.734388646
ecoli-0-6-7_vs_3-5,0.676363636,0.701248655
ecoli-0-6-7_vs_5,0.788,0.699563227
ecoli-0_vs_1,0.805830533,0.512099898
ecoli1,0.590282305,0.737177672
ecoli2,0.520381907,0.850509753
ecoli3,0.645657333,0.852142835
ecoli4,0.813132911,0.790556213
flare-F,0.833765259,0.806094382
glass-0-1-2-3_vs_4-5-6,0.867436545,0.600031493
glass-0-1-4-6_vs_2,0.640175219,0.934630647
glass-0-1-5_vs_2,0.504364326,0.897739543
glass-0-1-6_vs_2,0.607058824,0.926177512
glass-0-1-6_vs_5,0.678730159,0.902743482
glass-0-4_vs_5,0.709504685,0.790793076
glass-0-6_vs_5,0.511784512,0.784717961
glass0,0.683333333,0.761565218
glass1,0.573989321,0.667174437
glass2,0.679008659,0.941094085
glass4,0.783008037,0.705390896
glass5,0.565311653,0.928058636
glass6,0.894315005,0.583771888
habermanImb,0.557805213,0.649873706
iris0,0.918,0.732134071
kr-vs-k-one_vs_fifteen,0.999911215,0.997577452
kr-vs-k-three_vs_eleven,0.673202869,0.961673395
kr-vs-k-zero-one_vs_draw,0.709397779,0.939015875
kr-vs-k-zero_vs_eight,0.665762064,0.972150079
kr-vs-k-zero_vs_fifteen,1,1
led7digit-0-2-4-5-6-7-8-9_vs_1,0.85730928,0.709658166
lymphography-normal-fibrosis,0.996478873,0.930555556
new-thyroid1,0.834603175,0.569186972
new-thyroid2,0.881587302,0.536344688
page-blocks-1-3_vs_4,0.601914414,0.712903991
page-blocks0,0.904325605,0.508064201
pimaImb,0.657201493,0.516160998
poker-8-9_vs_5,0.5632,0.964030926
poker-8-9_vs_6,0.557589041,0.945156616
poker-8_vs_6,0.545809831,0.986963083
poker-9_vs_7,0.819385593,0.662503088
segment0,0.742389313,0.908185658
shuttle-2_vs_5,0.952930667,0.637331244
shuttle-6_vs_2-3,0.920454545,0.610474024
shuttle-c0-vs-c4,0.998517904,0.937086902
shuttle-c2-vs-c4,0.972899729,0.520502646
vehicle0,0.59601718,0.775851242
vehicle1,0.567611526,0.716821287
vehicle2,0.570764916,0.734358722
vehicle3,0.591170168,0.714273969
vowel0,0.940163326,0.567500625
winequality-red-3_vs_5,0.797797357,0.957542491
winequality-red-4,0.591203105,0.937945819
winequality-red-8_vs_6-7,0.606199389,0.964015311
winequality-red-8_vs_6,0.678335075,0.943037406
winequality-white-3-9_vs_5,0.793850377,0.831605001
winequality-white-3_vs_7,0.838806818,0.580130981
winequality-white-9_vs_4,0.628220859,0.95299167
wisconsinImb,0.951487052,0.951138917
yeast-0-2-5-6_vs_3-7-8-9,0.752140186,0.673522324
yeast-0-2-5-7-9_vs_3-6-8,0.816061164,0.704135214
yeast-0-3-5-9_vs_7-8,0.6025,0.821469272
yeast-0-5-6-7-9_vs_4,0.632630411,0.86327508
yeast-1-2-8-9_vs_7,0.638567794,0.945154728
yeast-1-4-5-8_vs_7,0.535947712,0.953382522
yeast-1_vs_7,0.655866356,0.872096012
yeast-2_vs_4,0.852327108,0.694545713
yeast-2_vs_8,0.746212121,0.723440695
yeast1,0.540275522,0.733672933
yeast3,0.586342379,0.879291684
yeast4,0.73423368,0.93026726
yeast5,0.886695076,0.883431555
yeast6,0.768944099,0.94465253
zoo-3,0.535416667,0.938614778
