folder_name,OCSVM_std_auc,OCSVM_std_avgprecision
abalone-17_vs_7-8-9-10,0.728871748,0.984337167
abalone-19_vs_10-11-12-13,0.517158019,0.981371616
abalone-20_vs_8-9-10,0.780606431,0.991627799
abalone-21_vs_8,0.899974805,0.98639243
abalone-3_vs_11,0.998083504,0.9838942
abalone19,0.534690367,0.992134134
abalone9-18,0.786128965,0.965083075
car-good,0.557468704,0.955408922
car-vgood,0.573403025,0.949166609
cleveland-0_vs_4,0.858653846,0.955043185
dermatology-6,0.947633136,0.969607036
ecoli-0-1-3-7_vs_2-6,0.852971846,0.98414582
ecoli-0-1-4-6_vs_5,0.7875,0.955279646
ecoli-0-1-4-7_vs_2-3-5-6,0.776929125,0.946359585
ecoli-0-1-4-7_vs_5-6,0.794006515,0.954053657
ecoli-0-1_vs_2-3-5,0.812878788,0.940299076
ecoli-0-1_vs_5,0.818181818,0.949295916
ecoli-0-2-3-4_vs_5,0.821978022,0.939648438
ecoli-0-2-6-7_vs_3-5,0.803105311,0.939658151
ecoli-0-3-4-6_vs_5,0.791081081,0.938552464
ecoli-0-3-4-7_vs_5-6,0.801896552,0.940609261
ecoli-0-3-4_vs_5,0.821388889,0.938976919
ecoli-0-4-6_vs_5,0.807923497,0.938887607
ecoli-0-6-7_vs_3-5,0.806363636,0.939297195
ecoli-0-6-7_vs_5,0.78275,0.942660144
ecoli-0_vs_1,0.717282717,0.820272604
ecoli1,0.584365442,0.803993757
ecoli2,0.517470206,0.831814496
ecoli3,0.55785477,0.910758712
ecoli4,0.846360759,0.964913205
flare-F,0.770135716,0.975299569
glass-0-1-2-3_vs_4-5-6,0.847227234,0.853885261
glass-0-1-4-6_vs_2,0.633917397,0.868354271
glass-0-1-5_vs_2,0.553320683,0.820112276
glass-0-1-6_vs_2,0.60302521,0.851914392
glass-0-1-6_vs_5,0.671111111,0.961784413
glass-0-4_vs_5,0.673360107,0.91544094
glass-0-6_vs_5,0.569023569,0.893492606
glass0,0.699603175,0.51145233
glass1,0.539378337,0.636581938
glass2,0.664974619,0.853363488
glass4,0.852659778,0.962931934
glass5,0.544715447,0.946725646
glass6,0.851071761,0.918174926
habermanImb,0.591550069,0.746814999
iris0,0.6144,0.734424146
kr-vs-k-one_vs_fifteen,0.982935578,0.982151535
kr-vs-k-three_vs_eleven,0.729061227,0.982520613
kr-vs-k-zero-one_vs_draw,0.68701887,0.975797795
kr-vs-k-zero_vs_eight,0.585071464,0.984585433
kr-vs-k-zero_vs_fifteen,0.982661332,0.993563294
led7digit-0-2-4-5-6-7-8-9_vs_1,0.576188257,0.899813045
lymphography-normal-fibrosis,0.96713615,0.975766035
new-thyroid1,0.871269841,0.903281846
new-thyroid2,0.871269841,0.903281846
page-blocks-1-3_vs_4,0.659990347,0.928045332
page-blocks0,0.911581919,0.944553329
pimaImb,0.623701493,0.700536776
poker-8-9_vs_5,0.584819512,0.905561277
poker-8-9_vs_6,0.593123288,0.839828844
poker-8_vs_6,0.522240129,0.772275684
poker-9_vs_7,0.878707627,0.980040565
segment0,0.776257082,0.700902354
shuttle-2_vs_5,0.990798523,0.99236133
shuttle-6_vs_2-3,0.981818182,0.975470263
shuttle-c0-vs-c4,0.998270094,0.9652615
shuttle-c2-vs-c4,0.972899729,0.971811731
vehicle0,0.541315542,0.730967007
vehicle1,0.505564388,0.735890726
vehicle2,0.509225443,0.726825125
vehicle3,0.53580144,0.776532449
vowel0,0.934199456,0.950953681
winequality-red-3_vs_5,0.816740088,0.990822925
winequality-red-4,0.605506603,0.97064682
winequality-red-8_vs_6,0.63549286,0.976996223
winequality-red-8_vs_6-7,0.582238152,0.978386351
winequality-white-3-9_vs_5,0.784406314,0.989519453
winequality-white-3_vs_7,0.845909091,0.987202943
winequality-white-9_vs_4,0.652760736,0.974154199
wisconsinImb,0.951647254,0.788149219
yeast-0-2-5-6_vs_3-7-8-9,0.730319772,0.935755792
yeast-0-2-5-7-9_vs_3-6-8,0.777052291,0.939558504
yeast-0-3-5-9_vs_7-8,0.613289474,0.922100707
yeast-0-5-6-7-9_vs_4,0.63661775,0.928293286
yeast-1-2-8-9_vs_7,0.642966194,0.976306729
yeast-1-4-5-8_vs_7,0.543137255,0.960822698
yeast-1_vs_7,0.664646465,0.952520552
yeast-2_vs_4,0.837547114,0.942070585
yeast-2_vs_8,0.745779221,0.966970395
yeast1,0.535962616,0.686635581
yeast3,0.569586157,0.911369522
yeast4,0.706142331,0.977457414
yeast5,0.839346591,0.982696523
yeast6,0.737710736,0.984792838
zoo-3,0.510416667,0.878018544
